country_name,date,"Air transport, freight (million ton-km)","Air transport, passengers carried","Air transport, registered carrier departures worldwide","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","Annual freshwater withdrawals, total (% of internal resources)","Annual freshwater withdrawals, total (billion cubic meters)",Container port traffic (TEU: 20 foot equivalent units),Electric power consumption (kWh per capita),Electric power transmission and distribution losses (% of output),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),Fixed broadband subscriptions,Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions,Fixed telephone subscriptions (per 100 people),ICT goods exports (% of total goods exports),ICT goods imports (% total goods imports),"ICT service exports (% of service exports, BoP)","ICT service exports (BoP, current US$)",Individuals using the Internet (% of population),"Industrial design applications, nonresident, by count","Industrial design applications, resident, by count",Investment in energy with private participation (current US$),Investment in ICT with private participation (current US$),Investment in transport with private participation (current US$),Investment in water and sanitation with private participation (current US$),Liner shipping connectivity index (maximum value in 2004 = 100),Mobile cellular subscriptions,Mobile cellular subscriptions (per 100 people),Public private partnerships investment in energy (current US$),Public private partnerships investment in ICT (current US$),Public private partnerships investment in transport (current US$),Public private partnerships investment in water and sanitation (current US$),Rail lines (total route-km),"Railways, goods transported (million ton-km)","Railways, passengers carried (million passenger-km)",Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",Secure Internet servers,Secure Internet servers (per 1 million people),"Trademark applications, nonresident, by count","Trademark applications, resident, by count"
Africa Eastern and Southern,2022,,,,,,,,,,,,,,,,,,,,,,,5.8851617498885,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2021,4266.475686441,24057585.264,399895.848,,,,,,,,,,,,,,5868152.0,0.834709948050618,4178793.0,0.603637494215419,0.40913780723915605,5.59179286584274,8.97331405957811,2749244165.68099,27.660653781351,,,,,,,,533297521.0,75.8584211840452,,,,,,,,,,,,,
Africa Eastern and Southern,2020,3296.16681816516,19166036.418,286064.1974,83.6089591884846,10.2773105012805,6.11373031020545,4.9546753019285,98.377503251,,,,,,,,,4927322.0,0.7304653334045741,5086129.0,0.754008143997969,0.522231692860169,5.48288940928766,7.33612591128958,2082926191.12762,24.9884008681592,,,,,,,,486875309.0,71.0609338093953,,,,,,,,2898.21741106255,1985.321,,1295.12361785223,,
Africa Eastern and Southern,2019,3732.43122926741,54851421.2852037,717795.3,83.3504182229799,10.3332236115802,6.30615794277644,4.93752806981843,98.037075651,,,,,,,,,4138998.0,0.620279018291044,5322696.0,0.810358367885163,0.5491905937930041,5.33745043604724,4.27668388889061,2001100173.48189,22.5895992519959,,,,,,,,458668264.0,68.736998772629,,,,,,,,2975.84471999349,1985.321,,1308.38692697775,,
Africa Eastern and Southern,2018,3526.787055136,52613964.0777057,705127.484622134,82.852076694439,9.97681783061511,5.85073224485822,4.9175377607198,97.6402038465,,,,,,,,,3308916.0,0.6918192365050321,5362000.0,1.00183386792786,0.72480563721087,5.17682291442909,3.89414194465939,1862379164.83734,20.0630242595526,,,,,,,,387054920.0,72.3171815751444,,,,,,,,3055.93667519694,1985.321,,1152.6106366128,,
Africa Eastern and Southern,2017,3607.12387761026,45423814.08,630147.0,83.2265187363666,10.8066607975432,5.96682046608081,4.8818128852210805,96.930950391,,,,,,,,,3194931.0,0.5390875552813651,8226100.0,1.33126041589366,0.6743224648709171,5.42917622292508,3.93486982000335,1739692613.52358,17.3109868719447,,,,,,,,406389425.0,64.2226191451532,,,,,,,,3138.09961052965,1985.321,,885.629455091317,,
Africa Eastern and Southern,2016,2870.64683913375,41553429.0,562927.0,83.3597453532351,10.8188194447893,5.81946953448265,4.8681288611010505,96.6592785865,,,,,,,,,3129499.0,0.5076946686594981,8320103.0,1.34975979750139,1.02248561759986,5.93732377008434,4.01822602619642,1601670744.02383,15.753329822739,,,,,,,,396261205.0,64.2849546298434,,,,,,,,3221.44409620901,1985.321,,93.9764837822101,,
Africa Eastern and Southern,2015,2739.36693923474,39154692.0,556341.0,82.9647504917779,11.6772167927827,5.3686471559027,4.79242732745486,95.1563601417,,,,61.2245025273491,19.5414253038097,1.37285774304823,,3.33076647467845,3086933.0,0.514450660064243,7689663.0,1.28151540946766,1.14273597905373,6.18307346363762,4.19729219955147,1749041250.25657,14.4858491534531,,,,,,,,403793199.0,67.2938731832888,,,,,,,,3309.3371285154,1985.321,,29.2545892655667,,
Africa Eastern and Southern,2014,2722.61327188447,36350758.9454475,534810.303494447,83.633270261004,12.0084634557423,4.36964491399792,4.66819427529352,92.6899352682,,680.1499426465,10.5947656106552,62.3228673544471,19.6951389738126,1.09056972258336,3.58003778041762,3.19332933523694,3123787.0,0.5351803578033041,7586399.0,1.29973385870506,1.3206782286416399,5.57666091212993,4.65252384168555,2068827091.47377,12.2377157932034,,,,,,,,361512328.0,61.9358160623131,,,,,,,,3402.08697946816,1985.321,,24.3114568784267,,
Africa Eastern and Southern,2013,2642.20198198919,35112457.818,548834.772,84.3172221018845,12.2972181461664,3.38555975192158,4.54311753086277,90.2067603949,,691.958089786635,10.3931823810978,64.4899675802862,18.6977986408808,0.8628898328367761,3.73257405151658,3.12291499758958,2572220.0,0.452910908034707,7647879.0,1.34662191535518,0.9309809140343491,5.46229965229631,4.34227605358641,1848738490.13395,10.1269454655226,,,,,,,,327628287.0,57.6880768277277,,,,,,,,3496.50107026708,1985.321,,18.8492486804421,,
