,id,id_x,value,title,unit,id_y,Aggregationmethod,Developmentrelevance,IndicatorName,License_Type,License_URL,Limitationsandexceptions,Longdefinition,Periodicity,Source,Statisticalconceptandmethodology,Topic,Shortdefinition,Generalcomments,Notesfromoriginalsource,Relatedsourcelinks,Unitofmeasure,DataQuality,Derivationmethod,Otherweblinks
0,BX.GRT.EXTA.CD.WD,BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)","Grants, excluding technical cooperation","BoP, current US$",BX.GRT.EXTA.CD.WD,Sum,"DAC exists to help its members coordinate their development assistance and to encourage the expansion and improve the effectiveness of the aggregate resources flowing to recipient economies. In this capacity DAC monitors the flow of all financial resources, but its main concern is official development assistance (ODA). Grants or loans to countries and territories on the DAC list of aid recipients have to meet three criteria to be counted as ODA. They are provided by official agencies, including state and local governments, or by their executive agencies. They promote economic development and welfare as the main objective. And they are provided on concessional financial terms (loans must have a grant element of at least 25 percent, calculated at a discount rate of 10 percent). The DAC Statistical Reporting Directives provide the most detailed explanation of this definition and all ODA-related rules.

OECD's IDS database provides a set of readily available basic data that enables analysis on where aid goes, what purposes it serves and what policies it aims to implement, on a comparable basis for all DAC members. The aid data is most commonly used to analyze the sectoral and geographical breakdown of aid for selected years and donors or groups of donors. The data can also be used to target specific policy issues (e.g. tying status of aid) and monitor donors' compliance with various international recommendations in the field of development co-operation.","Grants, excluding technical cooperation (BoP, current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Data on ODA is for aid-receiving countries. The data cover loans and grants from DAC member countries, multilateral organizations, and non-DAC donors. They do not reflect aid given by recipient countries to other developing countries. As a result, some countries that are net donors (such as Saudi Arabia) are shown as aid recipients. The indicator does not distinguish types of aid (program, project, or food aid; emergency assistance; or post-conflict peacekeeping assistance), which may have different effects on the economy.

Because the indicator relies on information from donors, it is not necessarily consistent with information recorded by recipients in the balance of payments, which often excludes all or some technical assistance - particularly payments to expatriates made directly by the donor. Similarly, grant commodity aid may not always be recorded in trade data or in the balance of payments. Moreover, DAC statistics exclude aid for military and antiterrorism purposes.

The aggregates refer to World Bank classifications of economies and therefore may differ from those of the OECD.",Grants are defined as legally binding commitments that obligate a specific value of funds available for disbursement for which there is no repayment requirement. Data are in current U.S. dollars.,Annual,"World Bank, International Debt Statistics, and OECD.","Grants are transfers made in cash, goods or services for which no repayment is required. Data excludes technical cooperation grants. The flows of official and private financial resources from the members of the Development Assistance Committee (DAC) of the Organisation for Economic Co-operation and Development (OECD) to developing economies are compiled by DAC, based principally on reporting by DAC members using standard questionnaires issued by the DAC Secretariat. A network of statistical correspondents collects data from aid agencies and government departments (central, state and local) on an ongoing basis. Their task is also to ensure that reporting conforms to the Reporting Directives (definitions and classifications) agreed by the DAC.

The official development assistance (ODA) estimates are published annually at the end of the calendar year in International Development Statistics (IDS) database. Data are in current U.S. dollars.",Economic Policy & Debt: Balance of payments: Reserves & other items,,,,,,,,
1,SH.TBS.INCD,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)",Incidence of tuberculosis,"per 100,000 people",SH.TBS.INCD,Weighted average,,"Incidence of tuberculosis (per 100,000 people)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information. To compensate for this and improve reliability and international comparability, the World Health Organization (WHO) prepares estimates in accordance with epidemiological models and statistical standards.

Uncertainty bounds for the incidence are available at http://data.worldbank.org","Incidence of tuberculosis is the estimated number of new and relapse tuberculosis cases arising in a given year, expressed as the rate per 100,000 population. All forms of TB are included, including cases in people living with HIV. Estimates for all years are recalculated as new information becomes available and techniques are refined, so they may differ from those published previously.",Annual,"World Health Organization, Global Tuberculosis Report.","Tuberculosis is one of the main causes of adult deaths from a single infectious agent in developing countries. In developed countries tuberculosis has reemerged largely as a result of cases among immigrants. Since tuberculosis incidence cannot be directly measured, estimates are obtained by eliciting expert opinion or are derived from measurements of prevalence or mortality.",Health: Risk factors,,"Aggregate data by groups are computed based on the groupings for the World Bank fiscal year in which the data was released by the World Health Organization.

This is the Sustainable Development Goal indicator 3.3.2[https://unstats.un.org/sdgs/metadata/].","Estimates are presented with uncertainty intervals (see footnote). When ranges are presented, the lower and higher numbers correspond to the 2.5th and 97.5th centiles of the outcome distributions (generally produced by simulations). For more detailed information, see the original source.",,,,,
2,SI.DST.FRST.20,SI.DST.FRST.20,Income share held by lowest 20%,Income share held by lowest 20%,,SI.DST.FRST.20,,The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country. Income distribution measures are important background indicators for shared prosperity.,Income share held by lowest 20%,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Despite progress in the last decade, the challenges of measuring poverty remain. The timeliness, frequency, quality, and comparability of household surveys need to increase substantially, particularly in the poorest countries. The availability and quality of poverty monitoring data remains low in small states, countries with fragile situations, and low-income countries and even some middle-income countries. The low frequency and lack of comparability of the data available in some countries create uncertainty over the magnitude of poverty reduction. 

Besides the frequency and timeliness of survey data, other data quality issues arise in measuring household living standards. The surveys ask detailed questions on sources of income and how it was spent, which must be carefully recorded by trained personnel. Income is generally more difficult to measure accurately, and consumption comes closer to the notion of living standards. And income can vary over time even if living standards do not. But consumption data are not always available: the latest estimates reported here use consumption data for about two-thirds of countries.

However, even similar surveys may not be strictly comparable because of differences in timing or in the quality and training of enumerators. Comparisons of countries at different levels of development also pose a potential problem because of differences in the relative importance of the consumption of nonmarket goods. The local market value of all consumption in kind (including own production, particularly important in underdeveloped rural economies) should be included in total consumption expenditure but may not be. Most survey data now include valuations for consumption or income from own production, but valuation methods vary.",Percentage share of income or consumption is the share that accrues to subgroups of population indicated by deciles or quintiles. Percentage shares by quintile may not sum to 100 because of rounding.,Annual,"World Bank, Poverty and Inequality Platform. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are mostly from the Luxembourg Income Study database. For more information and methodology, please see http://pip.worldbank.org.","Inequality in the distribution of income is reflected in the share of income or consumption accruing to a portion of the population ranked by income or consumption levels. The portions ranked lowest by personal income receive the smallest shares of total income.

Data on the distribution of income or consumption come from nationally representative household surveys. Where the original data from the household survey were available, they have been used to directly calculate the income or consumption shares by quintile. Otherwise, shares have been estimated from the best available grouped data.

The distribution data have been adjusted for household size, providing a more consistent measure of per capita income or consumption. 

The year reflects the year in which the underlying household survey data were collected or, when the data collection period bridged two calendar years, the year data collection started.

Percentage shares by quintile may not sum to 100 because of rounding.",Poverty: Income distribution,Percentage share of income or consumption that accrues to the first (poorest) quintile.,The World Bank’s internationally comparable poverty monitoring database now draws on income or detailed consumption data from more than 2000 household surveys across 169 countries. See the Poverty and Inequality Platform (PIP) for details (www.pip.worldbank.org).,,"World Bank, Poverty and Inequality Platform: https://pip.worldbank.org/",%,,,
3,SH.STA.MMRT,SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Maternal mortality ratio,"modeled estimate, per 100,000 live births",SH.STA.MMRT,Weighted average,,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The methodology differs from that used for previous estimates, so data should not be compared historically. Maternal mortality ratios are generally of unknown reliability, as are many other cause-specific mortality indicators. The ratios cannot be assumed to provide an exact estimate of maternal mortality.","Maternal mortality ratio is the number of women who die from pregnancy-related causes while pregnant or within 42 days of pregnancy termination per 100,000 live births. The data are estimated with a regression model using information on the proportion of maternal deaths among non-AIDS deaths in women ages 15-49, fertility, birth attendants, and GDP measured using purchasing power parities (PPPs).",Annual,"WHO, UNICEF, UNFPA, World Bank Group, and UNDESA/Population Division. Trends in Maternal Mortality 2000 to 2020. Geneva, World Health Organization, 2023","Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.

Maternal mortality is generally of unknown reliability, as are many other cause-specific mortality indicators. Household surveys such as Demographic and Health Surveys attempt to measure maternal mortality by asking respondents about survivorship of sisters. The main disadvantage of this method is that the estimates of maternal mortality that it produces pertain to any time within the past few years before the survey, making them unsuitable for monitoring recent changes or observing the impact of interventions. In addition, measurement of maternal mortality is subject to many types of errors. Even in high-income countries with reliable vital registration systems, misclassification of maternal deaths has been found to lead to serious underestimation.

The estimates are based on an exercise by the Maternal Mortality Estimation Inter-Agency Group (MMEIG) which consists of World Health Organization (WHO), United Nations Children's Fund (UNICEF), World Bank, and United Nations Population Fund (UNFPA), and include country-level time series data. For countries without complete registration data but with other types of data and for countries with no data, maternal mortality is estimated with a regression model using available national maternal mortality data and socioeconomic information.",Health: Reproductive health,,This indicator represents the risk associated with each pregnancy and is also a Sustainable Development Goal Indicator (3.1.1) for monitoring maternal health.,"Estimates of maternal mortality are presented along with upper and lower  limits of intervals (see footnote) designed to depict the uncertainty of estimates. The intervals are the product of a detailed probabilistic evaluation of the uncertainty attributable to the various components of the estimation process. For estimates derived from the multilevel regression model, the components of uncertainty were divided into two groups: those reflected within the regression model (internal sources), and those due to assumptions or calculations that occur outside the model (external sources). Estimates of the total uncertainty reflect a combination of these various sources.",,,,,
4,SH.DYN.MORT,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)","Mortality rate, under-5","per 1,000 live births",SH.DYN.MORT,Weighted average,"Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.","Mortality rate, under-5 (per 1,000 live births)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.","Under-five mortality rate is the probability per 1,000 that a newborn baby will die before reaching age five, if subject to age-specific mortality rates of the specified year.",Annual,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.

Estimates of neonatal, infant, and child mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparisons across countries and over time difficult. To make neonatal, infant, and child mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the World Bank, the United Nations Population Division, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific regression model of mortality rates against their reference dates.",Health: Mortality,,"Given that data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. Moreover, they are among the indicators most frequently used to compare socioeconomic development across countries. Under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality captures the effect of gender discrimination better than infant mortality does, as malnutrition and medical interventions have more significant impacts to this age group. Where female under-five mortality is higher, girls are likely to have less access to resources than boys.

Aggregate data for LIC, UMC, LMC, HIC are computed based on the groupings for the World Bank fiscal year in which the data was released by the UN Inter-agency Group for Child Mortality Estimation.

This is the Sustainable Development Goal indicator 3.2.1[https://unstats.un.org/sdgs/metadata/].",,,,,,
5,DC.DAC.AUSL.CD,DC.DAC.AUSL.CD,"Net bilateral aid flows from DAC donors, Australia (current US$)","Net bilateral aid flows from DAC donors, Australia",current US$,DC.DAC.AUSL.CD,Sum,,"Net bilateral aid flows from DAC donors, Australia (current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Data exclude DAC members’ multilateral aid (contributions to the regular budgets of the multilateral institutions). However, projects executed by multilateral institutions or nongovernmental organizations on behalf of DAC members are classified as bilateral aid (since the donor country effectively controls the use of the funds) and are included in the data.

Aid to unspecified economies is included in regional totals and, when possible, income group totals. Aid not allocated by country or region - including administrative costs, research on development, and aid to nongovernmental organizations - is included in the world total. Thus regional and income group totals do not sum to the world total.","Net bilateral aid flows from DAC donors are the net disbursements of official development assistance (ODA) or official aid from the members of the Development Assistance Committee (DAC). Net disbursements are gross disbursements of grants and loans minus repayments of principal on earlier loans. ODA consists of loans made on concessional terms (with a grant element of at least 25 percent, calculated at a rate of discount of 10 percent) and grants made to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. Official aid refers to aid flows from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. DAC members are Australia, Austria, Belgium, Canada, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Japan, Korea, Luxembourg, The Netherlands, New Zealand, Norway, Poland, Portugal, Slovak Republic, Slovienia, Spain, Sweden, Switzerland, United Kingdom, United States, and European Union Institutions. Regional aggregates include data for economies not specified elsewhere. World and income group totals include aid not allocated by country or region. Data are in current U.S. dollars.",Annual,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: https://stats.oecd.org/.","The Development Assistance Committee (DAC) of the Organisation for Economic Co-operation and Development (OECD) has 30 members - 29 individual economies and 1 multilateral institution (European Union institutions).

Data are based on donor country reports of bilateral programs, which may differ from reports by recipient countries. Recipients may lack access to information on such aid expenditures as development-oriented research, stipends and tuition costs for aid-financed students in donor countries, and payment of experts hired by donor countries. Moreover, a full accounting would include donor country contributions to multilateral institutions, the flow of resources from multilateral institutions to recipient countries, and flows from countries that are not members of DAC.

Some of the aid recipients are also aid donors. Development cooperation activities by non-DAC members have increased in recent years and in some cases surpass those of individual DAC members. Some non-DAC donors report their development cooperation activities to DAC on a voluntary basis, but many do not yet report their aid flows to DAC.",Economic Policy & Debt: Official development assistance,,,,,,,,
6,DC.DAC.AUTL.CD,DC.DAC.AUTL.CD,"Net bilateral aid flows from DAC donors, Austria (current US$)","Net bilateral aid flows from DAC donors, Austria",current US$,DC.DAC.AUTL.CD,Sum,,"Net bilateral aid flows from DAC donors, Austria (current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Data exclude DAC members’ multilateral aid (contributions to the regular budgets of the multilateral institutions). However, projects executed by multilateral institutions or nongovernmental organizations on behalf of DAC members are classified as bilateral aid (since the donor country effectively controls the use of the funds) and are included in the data.

Aid to unspecified economies is included in regional totals and, when possible, income group totals. Aid not allocated by country or region - including administrative costs, research on development, and aid to nongovernmental organizations - is included in the world total. Thus regional and income group totals do not sum to the world total.","Net bilateral aid flows from DAC donors are the net disbursements of official development assistance (ODA) or official aid from the members of the Development Assistance Committee (DAC). Net disbursements are gross disbursements of grants and loans minus repayments of principal on earlier loans. ODA consists of loans made on concessional terms (with a grant element of at least 25 percent, calculated at a rate of discount of 10 percent) and grants made to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. Official aid refers to aid flows from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. DAC members are Australia, Austria, Belgium, Canada, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Japan, Korea, Luxembourg, The Netherlands, New Zealand, Norway, Poland, Portugal, Slovak Republic, Slovienia, Spain, Sweden, Switzerland, United Kingdom, United States, and European Union Institutions. Regional aggregates include data for economies not specified elsewhere. World and income group totals include aid not allocated by country or region. Data are in current U.S. dollars.",Annual,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: https://stats.oecd.org/.","The Development Assistance Committee (DAC) of the Organisation for Economic Co-operation and Development (OECD) has 30 members - 29 individual economies and 1 multilateral institution (European Union institutions).

Data are based on donor country reports of bilateral programs, which may differ from reports by recipient countries. Recipients may lack access to information on such aid expenditures as development-oriented research, stipends and tuition costs for aid-financed students in donor countries, and payment of experts hired by donor countries. Moreover, a full accounting would include donor country contributions to multilateral institutions, the flow of resources from multilateral institutions to recipient countries, and flows from countries that are not members of DAC.

Some of the aid recipients are also aid donors. Development cooperation activities by non-DAC members have increased in recent years and in some cases surpass those of individual DAC members. Some non-DAC donors report their development cooperation activities to DAC on a voluntary basis, but many do not yet report their aid flows to DAC.",Economic Policy & Debt: Official development assistance,,,,,,,,
7,DC.DAC.BELL.CD,DC.DAC.BELL.CD,"Net bilateral aid flows from DAC donors, Belgium (current US$)","Net bilateral aid flows from DAC donors, Belgium",current US$,DC.DAC.BELL.CD,Sum,,"Net bilateral aid flows from DAC donors, Belgium (current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Data exclude DAC members’ multilateral aid (contributions to the regular budgets of the multilateral institutions). However, projects executed by multilateral institutions or nongovernmental organizations on behalf of DAC members are classified as bilateral aid (since the donor country effectively controls the use of the funds) and are included in the data.

Aid to unspecified economies is included in regional totals and, when possible, income group totals. Aid not allocated by country or region - including administrative costs, research on development, and aid to nongovernmental organizations - is included in the world total. Thus regional and income group totals do not sum to the world total.","Net bilateral aid flows from DAC donors are the net disbursements of official development assistance (ODA) or official aid from the members of the Development Assistance Committee (DAC). Net disbursements are gross disbursements of grants and loans minus repayments of principal on earlier loans. ODA consists of loans made on concessional terms (with a grant element of at least 25 percent, calculated at a rate of discount of 10 percent) and grants made to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. Official aid refers to aid flows from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. DAC members are Australia, Austria, Belgium, Canada, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Japan, Korea, Luxembourg, The Netherlands, New Zealand, Norway, Poland, Portugal, Slovak Republic, Slovienia, Spain, Sweden, Switzerland, United Kingdom, United States, and European Union Institutions. Regional aggregates include data for economies not specified elsewhere. World and income group totals include aid not allocated by country or region. Data are in current U.S. dollars.",Annual,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: https://stats.oecd.org/.","The Development Assistance Committee (DAC) of the Organisation for Economic Co-operation and Development (OECD) has 30 members - 29 individual economies and 1 multilateral institution (European Union institutions).

Data are based on donor country reports of bilateral programs, which may differ from reports by recipient countries. Recipients may lack access to information on such aid expenditures as development-oriented research, stipends and tuition costs for aid-financed students in donor countries, and payment of experts hired by donor countries. Moreover, a full accounting would include donor country contributions to multilateral institutions, the flow of resources from multilateral institutions to recipient countries, and flows from countries that are not members of DAC.

Some of the aid recipients are also aid donors. Development cooperation activities by non-DAC members have increased in recent years and in some cases surpass those of individual DAC members. Some non-DAC donors report their development cooperation activities to DAC on a voluntary basis, but many do not yet report their aid flows to DAC.",Economic Policy & Debt: Official development assistance,,,,,,,,
8,DC.DAC.CANL.CD,DC.DAC.CANL.CD,"Net bilateral aid flows from DAC donors, Canada (current US$)","Net bilateral aid flows from DAC donors, Canada",current US$,DC.DAC.CANL.CD,Sum,,"Net bilateral aid flows from DAC donors, Canada (current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Data exclude DAC members’ multilateral aid (contributions to the regular budgets of the multilateral institutions). However, projects executed by multilateral institutions or nongovernmental organizations on behalf of DAC members are classified as bilateral aid (since the donor country effectively controls the use of the funds) and are included in the data.

Aid to unspecified economies is included in regional totals and, when possible, income group totals. Aid not allocated by country or region - including administrative costs, research on development, and aid to nongovernmental organizations - is included in the world total. Thus regional and income group totals do not sum to the world total.","Net bilateral aid flows from DAC donors are the net disbursements of official development assistance (ODA) or official aid from the members of the Development Assistance Committee (DAC). Net disbursements are gross disbursements of grants and loans minus repayments of principal on earlier loans. ODA consists of loans made on concessional terms (with a grant element of at least 25 percent, calculated at a rate of discount of 10 percent) and grants made to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. Official aid refers to aid flows from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. DAC members are Australia, Austria, Belgium, Canada, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Japan, Korea, Luxembourg, The Netherlands, New Zealand, Norway, Poland, Portugal, Slovak Republic, Slovienia, Spain, Sweden, Switzerland, United Kingdom, United States, and European Union Institutions. Regional aggregates include data for economies not specified elsewhere. World and income group totals include aid not allocated by country or region. Data are in current U.S. dollars.",Annual,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: https://stats.oecd.org/.","The Development Assistance Committee (DAC) of the Organisation for Economic Co-operation and Development (OECD) has 30 members - 29 individual economies and 1 multilateral institution (European Union institutions).

Data are based on donor country reports of bilateral programs, which may differ from reports by recipient countries. Recipients may lack access to information on such aid expenditures as development-oriented research, stipends and tuition costs for aid-financed students in donor countries, and payment of experts hired by donor countries. Moreover, a full accounting would include donor country contributions to multilateral institutions, the flow of resources from multilateral institutions to recipient countries, and flows from countries that are not members of DAC.

Some of the aid recipients are also aid donors. Development cooperation activities by non-DAC members have increased in recent years and in some cases surpass those of individual DAC members. Some non-DAC donors report their development cooperation activities to DAC on a voluntary basis, but many do not yet report their aid flows to DAC.",Economic Policy & Debt: Official development assistance,,,,,,,,
9,DC.DAC.CZEL.CD,DC.DAC.CZEL.CD,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)","Net bilateral aid flows from DAC donors, Czech Republic",current US$,DC.DAC.CZEL.CD,Sum,,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Data exclude DAC members’ multilateral aid (contributions to the regular budgets of the multilateral institutions). However, projects executed by multilateral institutions or nongovernmental organizations on behalf of DAC members are classified as bilateral aid (since the donor country effectively controls the use of the funds) and are included in the data.

Aid to unspecified economies is included in regional totals and, when possible, income group totals. Aid not allocated by country or region - including administrative costs, research on development, and aid to nongovernmental organizations - is included in the world total. Thus regional and income group totals do not sum to the world total.","Net bilateral aid flows from DAC donors are the net disbursements of official development assistance (ODA) or official aid from the members of the Development Assistance Committee (DAC). Net disbursements are gross disbursements of grants and loans minus repayments of principal on earlier loans. ODA consists of loans made on concessional terms (with a grant element of at least 25 percent, calculated at a rate of discount of 10 percent) and grants made to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. Official aid refers to aid flows from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. DAC members are Australia, Austria, Belgium, Canada, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Japan, Korea, Luxembourg, The Netherlands, New Zealand, Norway, Poland, Portugal, Slovak Republic, Slovienia, Spain, Sweden, Switzerland, United Kingdom, United States, and European Union Institutions. Regional aggregates include data for economies not specified elsewhere. World and income group totals include aid not allocated by country or region. Data are in current U.S. dollars.",Annual,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: https://stats.oecd.org/.","The Development Assistance Committee (DAC) of the Organisation for Economic Co-operation and Development (OECD) has 30 members - 29 individual economies and 1 multilateral institution (European Union institutions).

Data are based on donor country reports of bilateral programs, which may differ from reports by recipient countries. Recipients may lack access to information on such aid expenditures as development-oriented research, stipends and tuition costs for aid-financed students in donor countries, and payment of experts hired by donor countries. Moreover, a full accounting would include donor country contributions to multilateral institutions, the flow of resources from multilateral institutions to recipient countries, and flows from countries that are not members of DAC.

Some of the aid recipients are also aid donors. Development cooperation activities by non-DAC members have increased in recent years and in some cases surpass those of individual DAC members. Some non-DAC donors report their development cooperation activities to DAC on a voluntary basis, but many do not yet report their aid flows to DAC.",Economic Policy & Debt: Official development assistance,,,,,,,,
