,id,id_x,value,title,unit,id_y,Aggregationmethod,Developmentrelevance,IndicatorName,License_Type,License_URL,Limitationsandexceptions,Longdefinition,Othernotes,Periodicity,Source,Statisticalconceptandmethodology,Topic,Shortdefinition,Unitofmeasure,Generalcomments,BasePeriod,DataQuality,Derivationmethod,Otherweblinks,Relatedsourcelinks
0,EG.ELC.ACCS.ZS,EG.ELC.ACCS.ZS,Access to electricity (% of population),Access to electricity,% of population,EG.ELC.ACCS.ZS,Weighted average,"Maintaining reliable and secure electricity services while seeking to rapidly decarbonize power systems is a key challenge for countries throughout the world. More and more countries are becoming increasing dependent on reliable and secure electricity supplies to underpin economic growth and community prosperity. This reliance is set to grow as more efficient and less carbon intensive forms of power are developed and deployed to help decarbonize economies.

Energy is necessary for creating the conditions for economic growth. It is impossible to operate a factory, run a shop, grow crops or deliver goods to consumers without using some form of energy. Access to electricity is particularly crucial to human development as electricity is, in practice, indispensable for certain basic activities, such as lighting, refrigeration and the running of household appliances, and cannot easily be replaced by other forms of energy. Individuals' access to electricity is one of the most clear and un-distorted indication of a country's energy poverty status.

Electricity access is increasingly at the forefront of governments' preoccupations, especially in the developing countries. As a consequence, a lot of rural electrification programs and national electrification agencies have been created in these countries to monitor more accurately the needs and the status of rural development and electrification.

Use of energy is important in improving people's standard of living. But electricity generation also can damage the environment. Whether such damage occurs depends largely on how electricity is generated. For example, burning coal releases twice as much carbon dioxide - a major contributor to global warming - as does burning an equivalent amount of natural gas.",Access to electricity (% of population),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Access to electricity is the percentage of population with access to electricity. Electrification data are collected from industry, national surveys and international sources.",,Annual,"IEA, IRENA, UNSD, World Bank, WHO. 2023. Tracking SDG 7: The Energy Progress Report. World Bank, Washington DC. © World Bank. License: Creative Commons Attribution—NonCommercial 3.0 IGO (CC BY-NC 3.0 IGO).","The World Bank’s Global Electrification Database (GED) compiles nationally representative household survey data, and occasionally census data, from sources going back as far as 1990. The database also incorporates data from the Socio-Economic Database for Latin America and the Caribbean (SEDLAC), Middle East and North Africa Poverty Database (MNAPOV) and the Europe and Central Asia Poverty Database (ECAPOV), which are based on similar surveys. At the time of this analysis, the GED contained 1,375 surveys for 149 countries in 1990-2021.",Environment: Energy production & use,,,,,,,,
1,AG.LND.IRIG.AG.ZS,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),Agricultural irrigated land,% of total agricultural land,AG.LND.IRIG.AG.ZS,Weighted average,"Worldwide, irrigated agriculture accounts for about four-fifths of global water withdrawals. The share of irrigated land ranges widely, from 4 percent of the total area cropped in Africa to 42 percent in South Asia. The leading countries are India and China with about 30 percent and 52 percent of all cropland irrigated, respectively. Without irrigation and drainage, much of the increases in agricultural output that has fed the world's growing population and stabilized food production would not have been possible.

In the dry sub-humid countries, irrigation is critical for crop production. Due to highly variable rainfall, long dry seasons, and recurrent droughts, dry spells and floods, water management is a key determinant for agricultural production in these regions and is increasingly becoming more important with climate change. World Bank estimates that rainfed agriculture is most significant in Sub-Saharan Africa where it accounts for about 96 percent of the cropland.

Irrigation and drainage continue to be an important source of productivity growth, especially in Sub-Saharan Africa and parts of Latin America that still have large untapped water resources for agriculture. In other regions where the scope for further expanding irrigated agriculture is limited, more efforts are needed to enhance the policy, technical, and governance aspects of agricultural water use.

Agricultural land covers more than one-third of the world's land area. In many industrialized countries, agricultural land is subject to zoning regulations. In the context of zoning, agricultural land (or more properly agriculturally zoned land) refers to plots that may be used for agricultural activities, regardless of the physical type or quality of land. Data on agricultural land are valuable for conducting studies on a various perspectives concerning agricultural production, food security and for deriving cropping intensity among others uses. Agricultural land indicator, along with land-use indicators, can also elucidate the environmental sustainability of countries' agricultural practices.
Agriculture is still a major sector in many economies, and agricultural activities provide developing countries with food and revenue. But agricultural activities also can degrade natural resources. Poor farming practices can cause soil erosion and loss of soil fertility. Efforts to increase productivity by using chemical fertilizers, pesticides, and intensive irrigation have environmental costs and health impacts. Salinization of irrigated land diminishes soil fertility. Thus, inappropriate use of inputs for agricultural production has far-reaching effects.

There is no single correct mix of inputs to the agricultural land, as it is dependent on local climate, land quality, and economic development; appropriate levels and application rates vary by country and over time and depend on the type of crops, the climate and soils, and the production process used.",Agricultural irrigated land (% of total agricultural land),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The data are collected by the Food and Agriculture Organization of the United Nations (FAO) from official national sources through annual questionnaires and are supplemented with information from official secondary data sources. The secondary sources cover official country data from websites of national ministries, national publications and related country data reported by various international organizations.. The FAO tries to impose standard definitions and reporting methods, but complete consistency across countries and over time is not possible. Thus, data on agricultural land in different climates may not be comparable. For example, permanent pastures are quite different in nature and intensity in African countries and dry Middle Eastern countries.","Agricultural irrigated land refers to agricultural areas purposely provided with water, including land irrigated by controlled flooding.",Areas of former states are included in the successor states.,Annual,"Food and Agriculture Organization, electronic files and web site.","Irrigated agricultural area refers to area equipped to provide water (via artificial means of irrigation such as by diverting streams, flooding, or spraying) to the crops. In non-irrigated agricultural areas, production of crops is dependent on rain-fed irrigation. 

Agricultural land constitutes only a part of any country's total area, which can include areas not suitable for agriculture, such as forests, mountains, and inland water bodies. Agricultural land can also be classified as irrigated and non-irrigated land. In arid and semi-arid countries agriculture is often confined to irrigated land, with very little farming possible in non-irrigated areas.",Environment: Land use,,,,,,,,
2,AG.LND.AGRI.ZS,AG.LND.AGRI.ZS,Agricultural land (% of land area),Agricultural land,% of land area,AG.LND.AGRI.ZS,Weighted average,"Agricultural land covers more than one-third of the world's land area, with arable land representing less than one-third of agricultural land (about 10 percent of the world's land area). Agricultural land constitutes only a part of any country's total area, which can include areas not suitable for agriculture, such as forests, mountains, and inland water bodies.

In many industrialized countries, agricultural land is subject to zoning regulations. In the context of zoning, agricultural land (or more properly agriculturally zoned land) refers to plots that may be used for agricultural activities, regardless of the physical type or quality of land.

FAO's agricultural land data contains a wide range of information on variables that are significant for: understanding the structure of a country's agricultural sector; making economic plans and policies for food security; deriving environmental indicators, including those related to investment in agriculture and data on gross crop area and net crop area which are useful for policy formulation and monitoring.

There is no single correct mix of inputs to the agricultural land, as it is dependent on local climate, land quality, and economic development; appropriate levels and application rates vary by country and over time and depend on the type of crops, the climate and soils, and the production process used.",Agricultural land (% of land area),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The data are collected by the Food and Agriculture Organization of the United Nations (FAO) from official national sources through annual questionnaires and are supplemented with information from official secondary data sources. The secondary sources cover official country data from websites of national ministries, national publications and related country data reported by various international organizations.. The FAO tries to impose standard definitions and reporting methods, but complete consistency across countries and over time is not possible. Thus, data on agricultural land in different climates may not be comparable. For example, permanent pastures are quite different in nature and intensity in African countries and dry Middle Eastern countries. Data on agricultural employment, in particular, should be used with caution. In many countries much agricultural employment is informal and unrecorded, including substantial work performed by women and children. To address some of these concerns, this indicator is heavily footnoted in the database in sources, definition, and coverage.","Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded. Land under permanent crops is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber. Permanent pasture is land used for five or more years for forage, including natural and cultivated crops.",Areas of former states are included in the successor states.,Annual,"Food and Agriculture Organization, electronic files and web site.","Agriculture is still a major sector in many economies, and agricultural activities provide developing countries with food and revenue. But agricultural activities also can degrade natural resources. Poor farming practices can cause soil erosion and loss of soil fertility. Efforts to increase productivity by using chemical fertilizers, pesticides, and intensive irrigation have environmental costs and health impacts. Excessive use of chemical fertilizers can alter the chemistry of soil. Pesticide poisoning is common in developing countries. And salinization of irrigated land diminishes soil fertility. Thus, inappropriate use of inputs for agricultural production has far-reaching effects.

Agricultural land is also sometimes classified as irrigated and non-irrigated land. In arid and semi-arid countries agriculture is often confined to irrigated land, with very little farming possible in non-irrigated areas. Land abandoned as a result of shifting cultivation is excluded from Arable land.

Data on agricultural land are valuable for conducting studies on a various perspectives concerning agricultural production, food security and for deriving cropping intensity among others uses. Agricultural land indicator, along with land-use indicators, can also elucidate the environmental sustainability of countries' agricultural practices.

Total land area does not include inland water bodies such as major rivers and lakes. Variations from year to year may be due to updated or revised data rather than to change in area.",Environment: Land use,,,,,,,,
3,AG.LND.AGRI.K2,AG.LND.AGRI.K2,Agricultural land (sq. km),Agricultural land,sq. km,AG.LND.AGRI.K2,Sum,"Agricultural land covers more than one-third of the world's land area. In many industrialized countries, agricultural land is subject to zoning regulations. In the context of zoning, agricultural land (or more properly agriculturally zoned land) refers to plots that may be used for agricultural activities, regardless of the physical type or quality of land.

FAO's agricultural land data contains a wide range of information on variables that are significant for understanding the structure of a country's agricultural sector; making economic plans and policies for food security; and deriving environmental indicators, including those related to investment in agriculture and data on gross crop area and net crop area which are useful for policy formulation and monitoring.

Agriculture is still a major sector in many economies, and agricultural activities provide developing countries with food and revenue. But agricultural activities also can degrade natural resources. Poor farming practices can cause soil erosion and loss of soil fertility. Efforts to increase productivity by using chemical fertilizers, pesticides, and intensive irrigation have environmental costs and health impacts. Excessive use of chemical fertilizers can alter the chemistry of soil. Pesticide poisoning is common in developing countries. And salinization of irrigated land diminishes soil fertility. Thus, inappropriate use of inputs for agricultural production has far-reaching effects.

There is no single correct mix of inputs to the agricultural land, as it is dependent on local climate, land quality, and economic development; appropriate levels and application rates vary by country and over time and depend on the type of crops, the climate and soils, and the production process used.",Agricultural land (sq. km),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The data are collected by the Food and Agriculture Organization of the United Nations (FAO) through annual questionnaires. The FAO tries to impose standard definitions and reporting methods, but complete consistency across countries and over time is not possible. Thus, data on agricultural land in different climates may not be comparable. For example, permanent pastures are quite different in nature and intensity in African countries and dry Middle Eastern countries. Data on agricultural employment, in particular, should be used with caution. In many countries much agricultural employment is informal and unrecorded, including substantial work performed by women and children. To address some of these concerns, this indicator is heavily footnoted in the database in sources, definition, and coverage. The secondary sources cover official country data from websites of national ministries, national publications and related country data reported by various international organizations.","Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded. Land under permanent crops is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber. Permanent pasture is land used for five or more years for forage, including natural and cultivated crops.",Areas of former states are included in the successor states.,Annual,"Food and Agriculture Organization, electronic files and web site.","Agricultural land constitutes only a part of any country's total area, which can include areas not suitable for agriculture, such as forests, mountains, and inland water bodies. Three components of the agricultural land are a) arable land - land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow, b) permanent pasture - land used for five or more years for forage, including natural and cultivated crops, and c) and under permanent crops - land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber; land under flowering shrubs, fruit trees, nut trees, and vines is included, but land under trees grown for wood or timber is not.

Agricultural land is also sometimes classified as irrigated and non-irrigated land. In arid and semi-arid countries agriculture is often confined to irrigated land, with very little farming possible in non-irrigated areas. Land abandoned as a result of shifting cultivation is excluded from arable land.

Data on agricultural land are valuable for conducting studies on a various perspectives concerning agricultural production, food security and for deriving cropping intensity among others uses. Agricultural land indicator, along with land-use indicators, can also elucidate the environmental sustainability of countries' agricultural practices.",Environment: Land use,,,,,,,,
4,NV.AGR.TOTL.ZS,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added",% of GDP,NV.AGR.TOTL.ZS,Weighted average,,"Agriculture, forestry, and fishing, value added (% of GDP)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Among the difficulties faced by compilers of national accounts is the extent of unreported economic activity in the informal or secondary economy. In developing countries a large share of agricultural output is either not exchanged (because it is consumed within the household) or not exchanged for money. Agricultural production often must be estimated indirectly, using a combination of methods involving estimates of inputs, yields, and area under cultivation. This approach sometimes leads to crude approximations that can differ from the true values over time and across crops for reasons other than climate conditions or farming techniques. Similarly, agricultural inputs that cannot easily be allocated to specific outputs are frequently ""netted out"" using equally crude and ad hoc approximations.","Agriculture, forestry, and fishing corresponds to ISIC divisions 1-3 and includes forestry, hunting, and fishing, as well as cultivation of crops and livestock production. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4. Note: For VAB countries, gross value added at factor cost is used as the denominator.",,Annual,"World Bank national accounts data, and OECD National Accounts data files.","Gross domestic product (GDP) represents the sum of value added by all its producers. Value added is the value of the gross output of producers less the value of intermediate goods and services consumed in production, before accounting for consumption of fixed capital in production. The United Nations System of National Accounts calls for value added to be valued at either basic prices (excluding net taxes on products) or producer prices (including net taxes on products paid by producers but excluding sales or value added taxes). Both valuations exclude transport charges that are invoiced separately by producers. Total GDP is measured at purchaser prices. Value added by industry is normally measured at basic prices.",Economic Policy & Debt: National accounts: Shares of GDP & other,,,"Note: Data for OECD countries are based on ISIC, revision 4.",,,,,
5,ER.H2O.FWTL.ZS,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)","Annual freshwater withdrawals, total",% of internal resources,ER.H2O.FWTL.ZS,Weighted average,"While some countries have an abundant supply of fresh water, others do not have as much. UN estimates that many areas of the world are already experiencing stress on water availability. Due to the accelerated pace of population growth and an increase in the amount of water a single person uses, it is expected that this situation will continue to get worse. The ability of developing countries to make more water available for domestic, agricultural, industrial and environmental uses will depend on better management of water resources and more cross-sectorial planning and integration. According to World Water Council, by 2020, water use is expected to increase by 40 percent, and 17 percent more water will be required for food production to meet the needs of the growing population. The three major factors causing increasing water demand over the past century are population growth, industrial development and the expansion of irrigated agriculture.

There is now ample evidence that increased hydrologic variability and change in climate has and will continue to have a profound impact on the water sector through the hydrologic cycle, water availability, water demand, and water allocation at the global, regional, basin, and local levels. Properly managed water resources are a critical component of growth, poverty reduction and equity. The livelihoods of the poorest are critically associated with access to water services. A shortage of water in the future would be detrimental to the human population as it would affect everything from sanitation, to overall health and the production of grain.

Freshwater use by continents is partly based on several socio-economic development factors, including population, physiography, and climatic characteristics. It is estimated that in the coming decades the most intensive growth of water withdrawal is expected to occur in Africa and South America (increasing by 1.5-1.6 times), while the smallest growth will take place in Europe and North America (1.2 times).","Annual freshwater withdrawals, total (% of internal resources)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"A common perception is that most of the available freshwater resources are visible (on the surfaces of lakes, reservoirs and rivers). However, this visible water represents only a tiny fraction of global freshwater resources, as most of it is stored in aquifers, with the largest stocks stored in solid form in the Antarctic and in Greenland's ice cap.

The data on freshwater resources are based on estimates of runoff into rivers and recharge of groundwater. These estimates are based on different sources and refer to different years, so cross-country comparisons should be made with caution. Because the data are collected intermittently, they may hide significant variations in total renewable water resources from year to year. The data also fail to distinguish between seasonal and geographic variations in water availability within countries. Data for small countries and countries in arid and semiarid zones are less reliable than those for larger countries and countries with greater rainfall.

Caution should also be used in comparing data on annual freshwater withdrawals, which are subject to variations in collection and estimation methods. In addition, inflows and outflows are estimated at different times and at different levels of quality and precision, requiring caution in interpreting the data, particularly for water-short countries, notably in the Middle East and North Africa.

The data are based on surveys and estimates provided by governments to the Joint Monitoring Programme of the World Health Organization (WHO) and the United Nations Children's Fund (UNICEF). The coverage rates are based on information from service users on actual household use rather than on information from service providers, which may include nonfunctioning systems.","Annual freshwater withdrawals refer to total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where there is significant water reuse. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including withdrawals for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes. Data are for the most recent year available for 1987-2002.",,Annual,"Food and Agriculture Organization, AQUASTAT data.","Annual freshwater withdrawals are total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where water reuse is significant. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes.",Environment: Freshwater,,,,,,,,
6,ER.H2O.FWTL.K3,ER.H2O.FWTL.K3,"Annual freshwater withdrawals, total (billion cubic meters)","Annual freshwater withdrawals, total",billion cubic meters,ER.H2O.FWTL.K3,Sum,"While some countries have an abundant supply of fresh water, others do not have as much. UN estimates that many areas of the world are already experiencing stress on water availability. Due to the accelerated pace of population growth and an increase in the amount of water a single person uses, it is expected that this situation will continue to get worse. The ability of developing countries to make more water available for domestic, agricultural, industrial and environmental uses will depend on better management of water resources and more cross-sectorial planning and integration.

There is now ample evidence that increased hydrologic variability and change in climate has and will continue to have a profound impact on the water sector through the hydrologic cycle, water availability, water demand, and water allocation at the global, regional, basin, and local levels. Properly managed water resources are a critical component of growth, poverty reduction and equity. The livelihoods of the poorest are critically associated with access to water services. A shortage of water in the future would be detrimental to the human population as it would affect everything from sanitation, to overall health and the production of grain.

Freshwater use by continents is partly based on several socio-economic development factors, including population, physiography, and climatic characteristics. It is estimated that in the coming decades the most intensive growth of water withdrawal is expected to occur in Africa and South America (increasing by 1.5-1.6 times), while the smallest growth will take place in Europe and North America (1.2 times).","Annual freshwater withdrawals, total (billion cubic meters)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"A common perception is that most of the available freshwater resources are visible (on the surfaces of lakes, reservoirs and rivers). However, this visible water represents only a tiny fraction of global freshwater resources, as most of it is stored in aquifers, with the largest stocks stored in solid form in the Antarctic and in Greenland's ice cap.

The data on freshwater resources are based on estimates of runoff into rivers and recharge of groundwater. These estimates are based on different sources and refer to different years, so cross-country comparisons should be made with caution. Because the data are collected intermittently, they may hide significant variations in total renewable water resources from year to year. The data also fail to distinguish between seasonal and geographic variations in water availability within countries. Data for small countries and countries in arid and semiarid zones are less reliable than those for larger countries and countries with greater rainfall.

Caution should also be used in comparing data on annual freshwater withdrawals, which are subject to variations in collection and estimation methods. In addition, inflows and outflows are estimated at different times and at different levels of quality and precision, requiring caution in interpreting the data, particularly for water-short countries, notably in the Middle East and North Africa.

The data are based on surveys and estimates provided by governments to the Joint Monitoring Programme of the World Health Organization (WHO) and the United Nations Children's Fund (UNICEF). The coverage rates are based on information from service users on actual household use rather than on information from service providers, which may include nonfunctioning systems.","Annual freshwater withdrawals refer to total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where there is significant water reuse. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including withdrawals for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes. Data are for the most recent year available for 1987-2002.",,Annual,"Food and Agriculture Organization, AQUASTAT data.","Annual freshwater withdrawals are total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Water withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where water reuse is significant. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes.",Environment: Freshwater,,,,,,,,
7,AG.LND.ARBL.ZS,AG.LND.ARBL.ZS,Arable land (% of land area),Arable land,% of land area,AG.LND.ARBL.ZS,Weighted average,"Agricultural land covers more than one-third of the world's land area. Agricultural land constitutes only a part of any country's total area, which can include areas not suitable for agriculture, such as forests, mountains, and inland water bodies.

Agriculture is still a major sector in many economies, and agricultural activities provide developing countries with food and revenue. But agricultural activities also can degrade natural resources. Poor farming practices can cause soil erosion and loss of soil fertility. Efforts to increase productivity by using chemical fertilizers, pesticides, and intensive irrigation have environmental costs and health impacts. Excessive use of chemical fertilizers can alter the chemistry of soil. Pesticide poisoning is common in developing countries. And salinization of irrigated land diminishes soil fertility. Thus, inappropriate use of inputs for agricultural production has far-reaching effects.

There is significant geographic variation in the availability of land considered suitable for agriculture. Increasing population and demand from other sectors place growing pressure on available resources. According to FAO, the world's cultivated area has grown by 12 percent over the last 50 years. The global irrigated area has doubled over the same period, accounting for most of the net increase in cultivated land. Agriculture already uses 11 percent of the world's land surface for crop production. It also makes use of 70 percent of all water withdrawn from aquifers, streams and lakes. Agricultural policies have primarily benefitted farmers with productive land and access to water, bypassing the majority of small-scale producers who are still locked in a poverty trap of high vulnerability, land degradation and climatic uncertainty.

Land resources are central to agriculture and rural development, and are intrinsically linked to global challenges of food insecurity and poverty, climate change adaptation and mitigation, as well as degradation and depletion of natural resources that affect the livelihoods of millions of rural people across the world.

In many industrialized countries, agricultural land is subject to zoning regulations. In the context of zoning, agricultural land (or more properly agriculturally zoned land) refers to plots that may be used for agricultural activities, regardless of the physical type or quality of land.

FAO's agricultural land data contains a wide range of information on variables that are significant for: understanding the structure of a country's agricultural sector; making economic plans and policies for food security; deriving environmental indicators, including those related to investment in agriculture and data on gross crop area and net crop area which are useful for policy formulation and monitoring.",Arable land (% of land area),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The Food and Agriculture Organization (FAO) tries to impose standard definitions and reporting methods, but complete consistency across countries and over time is not possible. Thus, data on agricultural land in different climates may not be comparable. For example, permanent pastures are quite different in nature and intensity in African countries and dry Middle Eastern countries.

The data collected by the Food and Agriculture Organization (FAO) of the United Nations from official national sources through the questionnaire are supplemented with information from official secondary data sources. The secondary sources cover official country data from websites of national ministries, national publications and related country data reported by various international organizations. Data on agricultural land are valuable for conducting studies on a various perspectives concerning agricultural production, food security and for deriving cropping intensity among others uses. Agricultural land indicator, along with land-use indicators, can also elucidate the environmental sustainability of countries' agricultural practices.

True comparability of the data is limited, by variations in definitions, statistical methods, and quality of data. Countries use different definitions land use. The Food and Agriculture Organization of the United Nations (FAO), the primary compiler of the data, occasionally adjusts its definitions of land use categories and revises earlier data. Because the data reflect changes in reporting procedures as well as actual changes in land use, apparent trends should be interpreted cautiously.

Satellite images show land use that differs from that of ground-based measures in area under cultivation and type of land use. Moreover, land use data in some countries (India is an example) are based on reporting systems designed for collecting tax revenue. With land taxes no longer a major source of government revenue, the quality and coverage of land use data have declined.","Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.",Areas of former states are included in the successor states.,Annual,"Food and Agriculture Organization, electronic files and web site.","Temporary fallow land refers to land left fallow for less than five years. The abandoned land resulting from shifting cultivation is not included in this category. Data for ""Arable land"" are not meant to indicate the amount of land that is potentially cultivable. Total land area does not include inland water bodies such as major rivers and lakes. Variations from year to year may be due to updated or revised data rather than to change in area. The data collected by the Food and Agriculture Organization (FAO) of the United Nations from official national sources through the questionnaire are supplemented with information from official secondary data sources. The secondary sources cover official country data from websites of national ministries, national publications and related country data reported by various international organizations.",Environment: Land use,,,,,,,,
8,AG.LND.PRCP.MM,AG.LND.PRCP.MM,Average precipitation in depth (mm per year),Average precipitation in depth,mm per year,AG.LND.PRCP.MM,,"The agriculture sector is the most water-intensive sector, and water delivery in agriculture is increasingly important. Data on irrigated agricultural land and data on average precipitation illustrate how countries obtain water for agricultural use.",Average precipitation in depth (mm per year),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The data are collected by the Food and Agriculture Organization of the United Nations (FAO) through annual questionnaires. The FAO tries to impose standard definitions and reporting methods, but complete consistency across countries and over time is not possible.",Average precipitation is the long-term average in depth (over space and time) of annual precipitation in the country. Precipitation is defined as any kind of water that falls from clouds as a liquid or a solid.,,Annual,"Food and Agriculture Organization, electronic files and web site.",,Environment: Land use,,,,,,,,
9,AG.YLD.CREL.KG,AG.YLD.CREL.KG,Cereal yield (kg per hectare),Cereal yield,kg per hectare,AG.YLD.CREL.KG,Weighted average,"In developed countries, cereal crops are universally machine-harvested, typically using a combine harvester, which cuts, threshes, and winnows the grain during a single pass across the field. In many industrialized countries, particularly in the United States and Canada, farmers commonly deliver their newly harvested grain to a grain elevator or a storage facility that consolidates the crops of many farmers. In developing countries, a variety of harvesting methods are used in cereal cultivation, depending on the cost of labor, from small combines to hand tools such as the scythe or cradle.

Crop production systems have evolved rapidly over the past century and have resulted in significantly increased crop yields, but have also created undesirable environmental side-effects such as soil degradation and erosion, pollution from chemical fertilizers and agrochemicals and a loss of bio-diversity. Factors such as the green revolution, has led to impressive progress in increasing cereals yields over the last few decades. This progress, however, is not equal across all regions. Continued progress depends on maintaining agricultural research and education. The cultivation of cereals varies widely in different countries and depends partly upon the development of the economy. Production depends on the nature of the soil, the amount of rainfall, irrigation, quality of seeds, and the techniques applied to promote growth.",Cereal yield (kg per hectare),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Cereals production data relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded. The FAO allocates production data to the calendar year in which the bulk of the harvest took place. Most of a crop harvested near the end of a year will be used in the following year.

The data are collected by the Food and Agriculture Organization of the United Nations (FAO) through annual questionnaires. The FAO tries to impose standard definitions and reporting methods, but complete consistency across countries and over time is not possible. Thus, data on agricultural land in different climates may not be comparable. For example, permanent pastures are quite different in nature and intensity in African countries and dry Middle Eastern countries.

Data on cereal yield may be affected by a variety of reporting and timing differences. Millet and sorghum, which are grown as feed for livestock and poultry in Europe and North America, are used as food in Africa, Asia, and countries of the former Soviet Union. So some cereal crops are excluded from the data for some countries and included elsewhere, depending on their use.

The data collected from official national sources through the questionnaire are supplemented with information from official secondary data sources. The secondary sources cover official country data from websites of national ministries, national publications and related country data reported by various international organizations.","Cereal yield, measured as kilograms per hectare of harvested land, includes wheat, rice, maize, barley, oats, rye, millet, sorghum, buckwheat, and mixed grains. Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded. The FAO allocates production data to the calendar year in which the bulk of the harvest took place. Most of a crop harvested near the end of a year will be used in the following year.",,Annual,"Food and Agriculture Organization, electronic files and web site.","A cereal is a grass cultivated for the edible components of their grain, composed of the endosperm, germ, and bran. Cereal yield is measured as kilograms per hectare of harvested land. Cereal grains are grown in greater quantities and provide more food energy worldwide than any other type of crop; cereal crops therefore can also be called staple crops Cereals production includes wheat, rice, maize, barley, oats, rye, millet, sorghum, buckwheat, and mixed grains. Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded.",Environment: Agricultural production,"Cereal yield, measured as kilograms per hectare of harvested land, includes wheat, rice, maize, barley, oats, rye, millet, sorghum, buckwheat, and mixed grains. Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded.",Kg per hectare,,,,,,
