,id,id_x,value,title,unit,id_y,Aggregationmethod,IndicatorName,License_Type,License_URL,Limitationsandexceptions,Longdefinition,Periodicity,Source,Statisticalconceptandmethodology,Topic,Developmentrelevance,Generalcomments,BasePeriod,Notesfromoriginalsource,Shortdefinition
0,EG.ELC.ACCS.ZS,EG.ELC.ACCS.ZS,Access to electricity (% of population),Access to electricity,% of population,EG.ELC.ACCS.ZS,Weighted average,Access to electricity (% of population),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Access to electricity is the percentage of population with access to electricity. Electrification data are collected from industry, national surveys and international sources.",Annual,"IEA, IRENA, UNSD, World Bank, WHO. 2023. Tracking SDG 7: The Energy Progress Report. World Bank, Washington DC. © World Bank. License: Creative Commons Attribution—NonCommercial 3.0 IGO (CC BY-NC 3.0 IGO).","The World Bank’s Global Electrification Database (GED) compiles nationally representative household survey data, and occasionally census data, from sources going back as far as 1990. The database also incorporates data from the Socio-Economic Database for Latin America and the Caribbean (SEDLAC), Middle East and North Africa Poverty Database (MNAPOV) and the Europe and Central Asia Poverty Database (ECAPOV), which are based on similar surveys. At the time of this analysis, the GED contained 1,375 surveys for 149 countries in 1990-2021.",Environment: Energy production & use,"Maintaining reliable and secure electricity services while seeking to rapidly decarbonize power systems is a key challenge for countries throughout the world. More and more countries are becoming increasing dependent on reliable and secure electricity supplies to underpin economic growth and community prosperity. This reliance is set to grow as more efficient and less carbon intensive forms of power are developed and deployed to help decarbonize economies.

Energy is necessary for creating the conditions for economic growth. It is impossible to operate a factory, run a shop, grow crops or deliver goods to consumers without using some form of energy. Access to electricity is particularly crucial to human development as electricity is, in practice, indispensable for certain basic activities, such as lighting, refrigeration and the running of household appliances, and cannot easily be replaced by other forms of energy. Individuals' access to electricity is one of the most clear and un-distorted indication of a country's energy poverty status.

Electricity access is increasingly at the forefront of governments' preoccupations, especially in the developing countries. As a consequence, a lot of rural electrification programs and national electrification agencies have been created in these countries to monitor more accurately the needs and the status of rural development and electrification.

Use of energy is important in improving people's standard of living. But electricity generation also can damage the environment. Whether such damage occurs depends largely on how electricity is generated. For example, burning coal releases twice as much carbon dioxide - a major contributor to global warming - as does burning an equivalent amount of natural gas.",,,,
1,EG.ELC.ACCS.RU.ZS,EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)","Access to electricity, rural",% of rural population,EG.ELC.ACCS.RU.ZS,Weighted average,"Access to electricity, rural (% of rural population)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Access to electricity, rural is the percentage of rural population with access to electricity.",Annual,"IEA, IRENA, UNSD, World Bank, WHO. 2023. Tracking SDG 7: The Energy Progress Report. World Bank, Washington DC. © World Bank. License: Creative Commons Attribution—NonCommercial 3.0 IGO (CC BY-NC 3.0 IGO).","The World Bank’s Global Electrification Database (GED) compiles nationally representative household survey data, and occasionally census data, from sources going back as far as 1990. The database also incorporates data from the Socio-Economic Database for Latin America and the Caribbean (SEDLAC), Middle East and North Africa Poverty Database (MNAPOV) and the Europe and Central Asia Poverty Database (ECAPOV), which are based on similar surveys. At the time of this analysis, the GED contained 1,375 surveys for 149 countries in 1990-2021.",Environment: Energy production & use,,,,,
2,EG.ELC.ACCS.UR.ZS,EG.ELC.ACCS.UR.ZS,"Access to electricity, urban (% of urban population)","Access to electricity, urban",% of urban population,EG.ELC.ACCS.UR.ZS,Weighted average,"Access to electricity, urban (% of urban population)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Access to electricity, urban is the percentage of urban population with access to electricity.",Annual,"IEA, IRENA, UNSD, World Bank, WHO. 2023. Tracking SDG 7: The Energy Progress Report. World Bank, Washington DC. © World Bank. License: Creative Commons Attribution—NonCommercial 3.0 IGO (CC BY-NC 3.0 IGO).","The World Bank’s Global Electrification Database (GED) compiles nationally representative household survey data, and occasionally census data, from sources going back as far as 1990. The database also incorporates data from the Socio-Economic Database for Latin America and the Caribbean (SEDLAC), Middle East and North Africa Poverty Database (MNAPOV) and the Europe and Central Asia Poverty Database (ECAPOV), which are based on similar surveys. At the time of this analysis, the GED contained 1,375 surveys for 149 countries in 1990-2021.",Environment: Energy production & use,,,,,
3,NY.ADJ.DNGY.GN.ZS,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI),Adjusted savings: energy depletion,% of GNI,NY.ADJ.DNGY.GN.ZS,Weighted average,Adjusted savings: energy depletion (% of GNI),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Energy depletion is the ratio of the value of the stock of energy resources to the remaining reserve lifetime (capped at 25 years). It covers coal, crude oil, and natural gas.",Annual,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).",,Economic Policy & Debt: National accounts: Adjusted savings & income,,,,,
4,NY.ADJ.DNGY.CD,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$),Adjusted savings: energy depletion,current US$,NY.ADJ.DNGY.CD,,Adjusted savings: energy depletion (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Energy depletion is the ratio of the value of the stock of energy resources to the remaining reserve lifetime (capped at 25 years). It covers coal, crude oil, and natural gas.",Annual,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).",,Economic Policy & Debt: National accounts: Adjusted savings & income,,,,,
5,NY.ADJ.DMIN.GN.ZS,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI),Adjusted savings: mineral depletion,% of GNI,NY.ADJ.DMIN.GN.ZS,Weighted average,Adjusted savings: mineral depletion (% of GNI),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Mineral depletion is the ratio of the value of the stock of mineral resources to the remaining reserve lifetime (capped at 25 years). It covers tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate.",Annual,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).",,Economic Policy & Debt: National accounts: Adjusted savings & income,,,,,
6,NY.ADJ.DMIN.CD,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$),Adjusted savings: mineral depletion,current US$,NY.ADJ.DMIN.CD,,Adjusted savings: mineral depletion (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Mineral depletion is the ratio of the value of the stock of mineral resources to the remaining reserve lifetime (capped at 25 years). It covers tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate.",Annual,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).",,Economic Policy & Debt: National accounts: Adjusted savings & income,,,,,
7,NY.ADJ.DRES.GN.ZS,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: natural resources depletion,% of GNI,NY.ADJ.DRES.GN.ZS,Weighted average,Adjusted savings: natural resources depletion (% of GNI),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Net forest depletion is not the monetary value of deforestation. Roundwood and fuelwood production are different from deforestation, which represents a permanent change in land use and, thus, is not comparable. Areas logged out but intended for regeneration are not included in deforestation figures; rather, they are counted as producing timber depletion. Net forest depletion includes only timber values and does not include the loss of nontimber forest benefits and nonuse benefits.

For both energy and mineral depletion, unit resource rent is calculated as (unit world price - average cost) / unit world price. Marginal cost should be used instead of average cost in order to calculate the true opportunity cost of extraction; however, marginal cost is difficult to compute and data are not readily available. Unit prices refer to international rather than local prices to reflect the social cost of natural resources depletion. This differs from methodologies of national accounts, which may use local prices to measure energy or mineral GDP. This difference explains eventual discrepancies in the values for energy or mineral depletion, verses energy or mineral GDP.","Natural resource depletion is the sum of net forest depletion, energy depletion, and mineral depletion. Net forest depletion is unit resource rents times the excess of roundwood harvest over natural growth. Energy depletion is the ratio of the value of the stock of energy resources to the remaining reserve lifetime (capped at 25 years). It covers coal, crude oil, and natural gas. Mineral depletion is the ratio of the value of the stock of mineral resources to the remaining reserve lifetime (capped at 25 years). It covers tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate.",Annual,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).","Natural resources depletion is the sum of net forest depletion, energy depletion, and mineral depletion:

Net forest depletion is the product of unit resource rents and the excess of roundwood harvest over natural growth. In a country where incremental growth exceeds wood extraction, net forest depletion would be zero, no matter the absolute volume or value of wood extracted.

Energy depletion is the ratio of the present value of energy resource rents, discounted at 4 percent, to the exhaustion time of the resource (capped at 25 years). Rent is calculated as the product of unit resource rents and the physical quantities of energy resources extracted. It covers hard and soft coal, crude oil, and natural gas.

Mineral depletion is the ratio of the present value of mineral resource rents, discounted at 4 percent, to the exhaustion time of the resource (capped at 25 years). Rent is calculated as the product of unit resource rents and the physical quantities of mineral extracted. It covers tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate.",Economic Policy & Debt: National accounts: Adjusted savings & income,"Natural resources depletion is a critical component in the calculation of adjusted net national income. Adjusted net national income is calculated by subtracting from GNI a charge for the consumption of fixed capital (a calculation that yields net national income) and for the depletion of natural resources. The deduction for the depletion of natural resources, which covers net forest depletion, energy depletion, and mineral depletion, reflects the decline in asset values associated with the extraction and harvest of natural resources - this is analogous to depreciation of fixed assets.",,,,
8,EG.USE.COMM.CL.ZS,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),Alternative and nuclear energy,% of total energy use,EG.USE.COMM.CL.ZS,Weighted average,Alternative and nuclear energy (% of total energy use),Use and distribution of these data are subject to IEA terms and conditions.,http://www.iea.org/t&c/termsandconditions,"The IEA makes these estimates in consultation with national statistical offices, oil companies, electric utilities, and national energy experts. The IEA occasionally revises its time series to reflect political changes, and energy statistics undergo continual changes in coverage or methodology as more detailed energy accounts become available. Breaks in series are therefore unavoidable.","Clean energy is noncarbohydrate energy that does not produce carbon dioxide when generated. It includes hydropower and nuclear, geothermal, and solar power, among others.",Annual,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/",Energy data are compiled by the International Energy Agency (IEA). IEA data for economies that are not members of the Organisation for Economic Co-operation and Development (OECD) are based on national energy data adjusted to conform to annual questionnaires completed by OECD member governments.,Environment: Energy production & use,"Alternative energy is produced without the undesirable consequences of the burning of fossil fuels, such as high carbon dioxide emissions, which is considered to be the major contributing factor of global warming.

Past few decade have seen a rise in global investment in renewable energy, led by wind and solar. In transport, major car companies are adding hybrid and full-electric vehicles to their product lines and many governments have launched plans to encourage consumers to buy these vehicles Fossil fuels continue to outpace alternative and renewable energy growth. Coal has been the fastest-growing global energy source, meeting about one-half of new electricity demand.

Total energy use refers to the use of primary energy before transformation to other end-use fuels (such as electricity and refined petroleum products). It includes energy from combustible renewables and waste - solid biomass and animal products, gas and liquid from biomass, and industrial and municipal waste. Biomass is any plant matter used directly as fuel or converted into fuel, heat, or electricity.

Governments in many countries are increasingly aware of the urgent need to make better use of the world's energy resources. Improved energy efficiency is often the most economic and readily available means of improving energy security and reducing greenhouse gas emissions.",Restricted use: Please contact the International Energy Agency for third-party use of these data.,,,
9,EN.ATM.CO2E.GF.ZS,EN.ATM.CO2E.GF.ZS,CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from gaseous fuel consumption,% of total,EN.ATM.CO2E.GF.ZS,Weighted average,CO2 emissions from gaseous fuel consumption (% of total),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The U.S. Department of Energy's Carbon Dioxide Information Analysis Center (CDIAC) calculates annual anthropogenic emissions from data on fossil fuel consumption (from the United Nations Statistics Division's World Energy Data Set) and world cement manufacturing (from the U.S. Department of Interior's Geological Survey, USGS 2011). Although estimates of global carbon dioxide emissions are probably accurate within 10 percent (as calculated from global average fuel chemistry and use), country estimates may have larger error bounds. Trends estimated from a consistent time series tend to be more accurate than individual values.

Each year the CDIAC recalculates the entire time series since 1949, incorporating recent findings and corrections. Estimates exclude fuels supplied to ships and aircraft in international transport because of the difficulty of apportioning the fuels among benefiting countries.",Carbon dioxide emissions from liquid fuel consumption refer mainly to emissions from use of natural gas as an energy source.,Annual,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States.","Carbon dioxide emissions, largely by-products of energy production and use, account for the largest share of greenhouse gases, which are associated with global warming. Anthropogenic carbon dioxide emissions result primarily from fossil fuel combustion and cement manufacturing. In combustion different fossil fuels release different amounts of carbon dioxide for the same level of energy use: oil releases about 50 percent more carbon dioxide than natural gas, and coal releases about twice as much. Cement manufacturing releases about half a metric ton of carbon dioxide for each metric ton of cement produced. Data for carbon dioxide emissions include gases from the burning of fossil fuels and cement manufacture, but excludes emissions from land use such as deforestation. Carbon dioxide emissions are often calculated and reported as elemental carbon. The values were converted to actual carbon dioxide mass by multiplying them by 3.667 (the ratio of the mass of carbon to that of carbon dioxide).",Environment: Emissions,"Carbon dioxide (CO2) is naturally occurring gas fixed by photosynthesis into organic matter. A byproduct of fossil fuel combustion and biomass burning, it is also emitted from land use changes and other industrial processes. It is the principal anthropogenic greenhouse gas that affects the Earth's radiative balance. It is the reference gas against which other greenhouse gases are measured, thus having a Global Warming Potential of 1.

An emission intensity is the average emission rate of a given pollutant from a given source relative to the intensity of a specific activity. Emission intensities are also used to compare the environmental impact of different fuels or activities. The related terms - emission factor and carbon intensity - are often used interchangeably.

Burning of carbon-based fuels since the industrial revolution has rapidly increased concentrations of atmospheric carbon dioxide, increasing the rate of global warming and causing anthropogenic climate change. It is also a major source of ocean acidification since it dissolves in water to form carbonic acid.

The addition of man-made greenhouse gases to the Atmosphere disturbs the earth's radiative balance. This is leading to an increase in the earth's surface temperature and to related effects on climate, sea level rise and world agriculture. Emissions of CO2 are from burning oil, coal and gas for energy use, burning wood and waste materials, and from industrial processes such as cement production.

The carbon dioxide emissions of a country are only an indicator of one greenhouse gas. For a more complete idea of how a country influences climate change, gases such as methane and nitrous oxide should be taken into account. This is particularly important in agricultural economies.

The environmental effects of carbon dioxide are of significant interest. Carbon dioxide (CO2) makes up the largest share of the greenhouse gases contributing to global warming and climate change. Converting all other greenhouse gases (methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), sulphur hexafluoride (SF6)) to carbon dioxide (or CO2) equivalents makes it possible to compare them and to determine their individual and total contributions to global warming. The Kyoto Protocol, an environmental agreement adopted in 1997 by many of the parties to the United Nations Framework Convention on Climate Change (UNFCCC), is working towards curbing CO2 emissions globally.",,,,
10,EN.ATM.CO2E.LF.KT,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),CO2 emissions from liquid fuel consumption,kt,EN.ATM.CO2E.LF.KT,Gap-filled total,CO2 emissions from liquid fuel consumption (kt),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The U.S. Department of Energy's Carbon Dioxide Information Analysis Center (CDIAC) calculates annual anthropogenic emissions from data on fossil fuel consumption (from the United Nations Statistics Division's World Energy Data Set) and world cement manufacturing (from the U.S. Department of Interior's Geological Survey, USGS 2011). Although estimates of global carbon dioxide emissions are probably accurate within 10 percent (as calculated from global average fuel chemistry and use), country estimates may have larger error bounds. Trends estimated from a consistent time series tend to be more accurate than individual values.

Each year the CDIAC recalculates the entire time series since 1949, incorporating recent findings and corrections. Estimates exclude fuels supplied to ships and aircraft in international transport because of the difficulty of apportioning the fuels among benefiting countries.",Carbon dioxide emissions from liquid fuel consumption refer mainly to emissions from use of petroleum-derived fuels as an energy source.,Annual,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States.","Carbon dioxide emissions, largely by-products of energy production and use, account for the largest share of greenhouse gases, which are associated with global warming. Anthropogenic carbon dioxide emissions result primarily from fossil fuel combustion and cement manufacturing. In combustion different fossil fuels release different amounts of carbon dioxide for the same level of energy use: oil releases about 50 percent more carbon dioxide than natural gas, and coal releases about twice as much. Cement manufacturing releases about half a metric ton of carbon dioxide for each metric ton of cement produced. Data for carbon dioxide emissions include gases from the burning of fossil fuels and cement manufacture, but excludes emissions from land use such as deforestation. Carbon dioxide emissions are often calculated and reported as elemental carbon. The values were converted to actual carbon dioxide mass by multiplying them by 3.667 (the ratio of the mass of carbon to that of carbon dioxide).",Environment: Emissions,"Carbon dioxide (CO2) is naturally occurring gas fixed by photosynthesis into organic matter. A byproduct of fossil fuel combustion and biomass burning, it is also emitted from land use changes and other industrial processes. It is the principal anthropogenic greenhouse gas that affects the Earth's radiative balance. It is the reference gas against which other greenhouse gases are measured, thus having a Global Warming Potential of 1.

An emission intensity is the average emission rate of a given pollutant from a given source relative to the intensity of a specific activity. Emission intensities are also used to compare the environmental impact of different fuels or activities. The related terms - emission factor and carbon intensity - are often used interchangeably.

Burning of carbon-based fuels since the industrial revolution has rapidly increased concentrations of atmospheric carbon dioxide, increasing the rate of global warming and causing anthropogenic climate change. It is also a major source of ocean acidification since it dissolves in water to form carbonic acid.

The addition of man-made greenhouse gases to the Atmosphere disturbs the earth's radiative balance. This is leading to an increase in the earth's surface temperature and to related effects on climate, sea level rise and world agriculture. Emissions of CO2 are from burning oil, coal and gas for energy use, burning wood and waste materials, and from industrial processes such as cement production.

The carbon dioxide emissions of a country are only an indicator of one greenhouse gas. For a more complete idea of how a country influences climate change, gases such as methane and nitrous oxide should be taken into account. This is particularly important in agricultural economies.

The environmental effects of carbon dioxide are of significant interest. Carbon dioxide (CO2) makes up the largest share of the greenhouse gases contributing to global warming and climate change. Converting all other greenhouse gases (methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), sulphur hexafluoride (SF6)) to carbon dioxide (or CO2) equivalents makes it possible to compare them and to determine their individual and total contributions to global warming. The Kyoto Protocol, an environmental agreement adopted in 1997 by many of the parties to the United Nations Framework Convention on Climate Change (UNFCCC), is working towards curbing CO2 emissions globally.",,,,
