,id,id_x,value,title,unit,id_y,Aggregationmethod,Developmentrelevance,IndicatorName,License_Type,License_URL,Limitationsandexceptions,Longdefinition,Periodicity,Source,Statisticalconceptandmethodology,Topic,Generalcomments,BasePeriod,Unitofmeasure,Othernotes
0,EG.CFT.ACCS.RU.ZS,EG.CFT.ACCS.RU.ZS,"Access to clean fuels and technologies for cooking, rural (% of rural population)","Access to clean fuels and technologies for cooking, rural",% of rural population,EG.CFT.ACCS.RU.ZS,Weighted average,,"Access to clean fuels and technologies for cooking, rural (% of rural population)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Access to clean fuels and technologies for cooking, rural is the proportion of rural population primarily using clean cooking fuels and technologies for cooking. Under WHO guidelines, kerosene is excluded from clean cooking fuels.",Annual,"IEA, IRENA, UNSD, World Bank, WHO. 2023. Tracking SDG 7: The Energy Progress Report. World Bank, Washington DC. © World Bank. License: Creative Commons Attribution—NonCommercial 3.0 IGO (CC BY-NC 3.0 IGO).","Data for access to clean fuels and technologies for cooking are based on the World Health Organization’s (WHO) Global Household Energy Database. They are collected among different sources: only data from nationally representative household surveys (including national censuses) were used. Survey sources include Demographic and Health Surveys (DHS) and Living Standards Measurement Surveys (LSMS), Multi-Indicator Cluster Surveys (MICS), the World Health Survey (WHS), other nationally developed and implemented surveys, and various government agencies (for example, ministries of energy and utilities). Trends in the proportion of the population using each fuel type are estimated using a single multivariate hierarchical model, with urban and rural disaggregation. Estimates for overall ‘polluting’ fuels (unprocessed biomass, charcoal, coal, and kerosene) and ‘clean’ fuels (gaseous fuels, electricity, as well as an aggregation of any other clean fuels like alcohol) are produced by aggregating estimates of relevant fuel types. The model was used to derive clean fuel use estimates for 191 countries (ref. Stoner, O., Shaddick, G., Economou, T., Gumy, S., Lewis, J., Lucio, I., Ruggeri, G. and Adair-Rohani, H. (2020), Global household energy model: a multivariate hierarchical approach to estimating trends in the use of polluting and clean fuels for cooking. J. R. Stat. Soc. C, 69: 815-839). Countries classified by the World Bank as high income (57 countries) in the 2022 fiscal year are assumed to have universal access to clean fuels and technologies for cooking.",Environment: Energy production & use,,,,
1,NY.ADJ.SVNG.GN.ZS,NY.ADJ.SVNG.GN.ZS,"Adjusted net savings, including particulate emission damage (% of GNI)","Adjusted net savings, including particulate emission damage",% of GNI,NY.ADJ.SVNG.GN.ZS,Weighted average,"Adjusted net savings measure the change in value of a specified set of assets, excluding capital gains. If a country's net savings are positive and the accounting includes a sufficiently broad range of assets, economic theory suggests that the present value of social welfare is increasing. Conversely, persistently negative adjusted net savings indicate that an economy is on an unsustainable path.","Adjusted net savings, including particulate emission damage (% of GNI)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The exercise treats public education expenditures as an addition to savings. However, because of the wide variability in the effectiveness of public education expenditures, these figures cannot be construed as the value of investments in human capital. A current expenditure of $1 on education does not necessarily yield $1 of human capital. The calculation should also consider private education expenditure, but data are not available for a large number of countries.

While extensive, the accounting of natural resource depletion and pollution costs still has some gaps. Key estimates missing on the resource side include the value of fossil water extracted from aquifers, net depletion of fish stocks, and depletion and degradation of soils. Important pollutants affecting human health and economic assets are excluded because no internationally comparable data are widely available on damage from ground-level ozone or sulfur oxides.","Adjusted net savings are equal to net national savings plus education expenditure and minus energy depletion, mineral depletion, net forest depletion, and carbon dioxide and particulate emissions damage.",Annual,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).","Adjusted net savings are derived from standard national accounting measures of gross savings by making four adjustments. First, estimates of fixed capital consumption of produced assets are deducted to obtain net savings. Second, current public expenditures on education are added to net savings (in standard national accounting these expenditures are treated as consumption). Third, estimates of the depletion of a variety of natural resources are deducted to reflect the decline in asset values associated with their extraction and harvest. And fourth, deductions are made for damages from carbon dioxide emissions and local pollution.

Estimates of resource depletion are based on the ""change in real wealth"" method described in Hamilton and Ruta (2008), which estimates depletion as the ratio between the total value of the resource and the remaining reserve lifetime. The total value of the resource is the present value of current and future rents from resource extractions. An economic rent represents an excess return to a given factor of production. Natural resources give rise to rents because they are not produced; in contrast, for produced goods and services competitive forces will expand supply until economic profits are driven to zero. For each type of resource and each country, unit resource rents are derived by taking the difference between world prices (to reflect the social opportunity cost of resource extraction) and the average unit extraction or harvest costs (including a “normal” return on capital). Unit rents are then multiplied by the physical quantity extracted or harvested to arrive at total rent. To estimate the value of the resource, rents are assumed to be constant over the life of the resource (the El Serafy approach), and the present value of the rent flow is calculated using a 4 percent social discount rate.",Economic Policy & Debt: National accounts: Adjusted savings & income,,,,
2,NY.ADJ.DKAP.GN.ZS,NY.ADJ.DKAP.GN.ZS,Adjusted savings: consumption of fixed capital (% of GNI),Adjusted savings: consumption of fixed capital,% of GNI,NY.ADJ.DKAP.GN.ZS,Weighted average,,Adjusted savings: consumption of fixed capital (% of GNI),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Consumption of fixed capital represents the replacement value of capital used up in the process of production.,Annual,World Bank staff estimates using data from the United Nations Statistics Division's National Accounts Statistics.,,Economic Policy & Debt: National accounts: Adjusted savings & income,,,,
3,NY.ADJ.AEDU.CD,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),Adjusted savings: education expenditure,current US$,NY.ADJ.AEDU.CD,,,Adjusted savings: education expenditure (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Education expenditure refers to the current operating expenditures in education, including wages and salaries and excluding capital investments in buildings and equipment.",Annual,"World Bank staff estimates using data from the United Nations Statistics Division's Statistical Yearbook, and the UNESCO Institute for Statistics online database.",,Economic Policy & Debt: National accounts: Adjusted savings & income,,,,
4,NY.ADJ.DNGY.GN.ZS,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI),Adjusted savings: energy depletion,% of GNI,NY.ADJ.DNGY.GN.ZS,Weighted average,,Adjusted savings: energy depletion (% of GNI),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Energy depletion is the ratio of the value of the stock of energy resources to the remaining reserve lifetime (capped at 25 years). It covers coal, crude oil, and natural gas.",Annual,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).",,Economic Policy & Debt: National accounts: Adjusted savings & income,,,,
5,NY.ADJ.DNGY.CD,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$),Adjusted savings: energy depletion,current US$,NY.ADJ.DNGY.CD,,,Adjusted savings: energy depletion (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Energy depletion is the ratio of the value of the stock of energy resources to the remaining reserve lifetime (capped at 25 years). It covers coal, crude oil, and natural gas.",Annual,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).",,Economic Policy & Debt: National accounts: Adjusted savings & income,,,,
6,NY.ADJ.DMIN.GN.ZS,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI),Adjusted savings: mineral depletion,% of GNI,NY.ADJ.DMIN.GN.ZS,Weighted average,,Adjusted savings: mineral depletion (% of GNI),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Mineral depletion is the ratio of the value of the stock of mineral resources to the remaining reserve lifetime (capped at 25 years). It covers tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate.",Annual,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).",,Economic Policy & Debt: National accounts: Adjusted savings & income,,,,
7,NY.ADJ.DMIN.CD,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$),Adjusted savings: mineral depletion,current US$,NY.ADJ.DMIN.CD,,,Adjusted savings: mineral depletion (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Mineral depletion is the ratio of the value of the stock of mineral resources to the remaining reserve lifetime (capped at 25 years). It covers tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate.",Annual,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).",,Economic Policy & Debt: National accounts: Adjusted savings & income,,,,
8,NY.ADJ.DFOR.GN.ZS,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI),Adjusted savings: net forest depletion,% of GNI,NY.ADJ.DFOR.GN.ZS,Weighted average,,Adjusted savings: net forest depletion (% of GNI),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"A positive net depletion figure for forest resources implies that the harvest rate exceeds the rate of natural growth; this is not the same as deforestation, which represents a change in land use. In principle, there should be an addition to savings in countries where growth exceeds harvest, but empirical estimates suggest that most of this net growth is in forested areas that cannot currently be exploited economically. Because the depletion estimates reflect only timber values, they ignore all the external and nontimber benefits associated with standing forests.",Net forest depletion is calculated as the product of unit resource rents and the excess of roundwood harvest over natural growth.,Annual,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).",,Economic Policy & Debt: National accounts: Adjusted savings & income,,,,
9,NY.ADJ.DFOR.CD,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),Adjusted savings: net forest depletion,current US$,NY.ADJ.DFOR.CD,,,Adjusted savings: net forest depletion (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Net forest depletion is calculated as the product of unit resource rents and the excess of roundwood harvest over natural growth.,Annual,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).",,Economic Policy & Debt: National accounts: Adjusted savings & income,,,,
