,id,id_x,value,title,unit,id_y,Aggregationmethod,Developmentrelevance,Generalcomments,IndicatorName,License_Type,License_URL,Limitationsandexceptions,Longdefinition,Periodicity,Source,Statisticalconceptandmethodology,Topic,BasePeriod,Shortdefinition
0,FX.OWN.TOTL.ZS,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Account ownership at a financial institution or with a mobile-money-service provider,% of population ages 15+,FX.OWN.TOTL.ZS,Weighted average,,"Each economy is classified based on the classification of World Bank Group's fiscal year 2022 (July 1, 2021-June 30, 2022).",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Account denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution or report personally using a mobile money service in the past 12 months (% age 15+).,Triennial,"Global Findex Database, World Bank (https://www.worldbank.org/en/publication/globalfindex).",,Financial Sector: Access,,
1,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.FE.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, female",% of population ages 15+,FX.OWN.TOTL.FE.ZS,Weighted average,,"Each economy is classified based on the classification of World Bank Group's fiscal year 2022 (July 1, 2021-June 30, 2022).","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Account denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution or report personally using a mobile money service in the past 12 months (female, % age 15+).",Triennial,"Global Findex Database, World Bank (https://www.worldbank.org/en/publication/globalfindex).",,Financial Sector: Access,,
2,FX.OWN.TOTL.MA.ZS,FX.OWN.TOTL.MA.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male",% of population ages 15+,FX.OWN.TOTL.MA.ZS,Weighted average,,"Each economy is classified based on the classification of World Bank Group's fiscal year 2022 (July 1, 2021-June 30, 2022).","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Account denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution or report personally using a mobile money service in the past 12 months (male, % age 15+).",Triennial,"Global Findex Database, World Bank (https://www.worldbank.org/en/publication/globalfindex).",,Financial Sector: Access,,
3,FX.OWN.TOTL.OL.ZS,FX.OWN.TOTL.OL.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults",% of population ages 25+,FX.OWN.TOTL.OL.ZS,Weighted average,,"Each economy is classified based on the classification of World Bank Group's fiscal year 2022 (July 1, 2021-June 30, 2022).","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Account denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution or report personally using a mobile money service in the past 12 months (older adults, % of population ages 25+).",Triennial,"Global Findex Database, World Bank (https://www.worldbank.org/en/publication/globalfindex).",,Financial Sector: Access,,
4,FX.OWN.TOTL.40.ZS,FX.OWN.TOTL.40.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40%",% of population ages 15+,FX.OWN.TOTL.40.ZS,Weighted average,,"Each economy is classified based on the classification of World Bank Group's fiscal year 2022 (July 1, 2021-June 30, 2022).","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Account denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution or report personally using a mobile money service in the past 12 months (poorest 40%, share of population ages 15+).",Triennial,"Global Findex Database, World Bank (https://www.worldbank.org/en/publication/globalfindex).",,Financial Sector: Access,,
5,FX.OWN.TOTL.PL.ZS,FX.OWN.TOTL.PL.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less",% of population ages 15+,FX.OWN.TOTL.PL.ZS,Weighted average,,"Each economy is classified based on the classification of World Bank Group's fiscal year 2022 (July 1, 2021-June 30, 2022).","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Account denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution or report personally using a mobile money service in the past 12 months (primary education or less, % of population ages 15+).",Triennial,"Global Findex Database, World Bank (https://www.worldbank.org/en/publication/globalfindex).",,Financial Sector: Access,,
6,FX.OWN.TOTL.60.ZS,FX.OWN.TOTL.60.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60%",% of population ages 15+,FX.OWN.TOTL.60.ZS,Weighted average,,"Each economy is classified based on the classification of World Bank Group's fiscal year 2022 (July 1, 2021-June 30, 2022).","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Account denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution or report personally using a mobile money service in the past 12 months (richest 60%, share of population ages 15+).",Triennial,"Global Findex Database, World Bank (https://www.worldbank.org/en/publication/globalfindex).",,Financial Sector: Access,,
7,FX.OWN.TOTL.SO.ZS,FX.OWN.TOTL.SO.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more",% of population ages 15+,FX.OWN.TOTL.SO.ZS,Weighted average,,"Each economy is classified based on the classification of World Bank Group's fiscal year 2022 (July 1, 2021-June 30, 2022).","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Account denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution or report personally using a mobile money service in the past 12 months (secondary education or more, % of population ages 15+).",Triennial,"Global Findex Database, World Bank (https://www.worldbank.org/en/publication/globalfindex).",,Financial Sector: Access,,
8,FX.OWN.TOTL.YG.ZS,FX.OWN.TOTL.YG.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)","Account ownership at a financial institution or with a mobile-money-service provider, young adults",% of population ages 15-24,FX.OWN.TOTL.YG.ZS,Weighted average,,"Each economy is classified based on the classification of World Bank Group's fiscal year 2022 (July 1, 2021-June 30, 2022).","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Account denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution or report personally using a mobile money service in the past 12 months (young adults, % of population ages 15-24).",Triennial,"Global Findex Database, World Bank (https://www.worldbank.org/en/publication/globalfindex).",,Financial Sector: Access,,
9,FB.ATM.TOTL.P5,FB.ATM.TOTL.P5,"Automated teller machines (ATMs) (per 100,000 adults)",Automated teller machines,ATMs,FB.ATM.TOTL.P5,Median,"Access to finance can expand opportunities for all with higher levels of access and use of banking services associated with lower financing obstacles for people and businesses. A stable financial system that promotes efficient savings and investment is also crucial for a thriving democracy and market economy. There are several aspects of access to financial services: availability, cost, and quality of services. The development and growth of credit markets depend on access to timely, reliable, and accurate data on borrowers' credit experiences. Access to credit can be improved by making it easy to create and enforce collateral agreements and by increasing information about potential borrowers' creditworthiness. Lenders look at a borrower's credit history and collateral. Where credit registries and effective collateral laws are absent - as in many developing countries - banks make fewer loans. Indicators that cover getting credit include the strength of legal rights index and the depth of credit information index.",Country-specific metadata can be found on the IMF’s FAS website (data.imf.org).,"Automated teller machines (ATMs) (per 100,000 adults)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Population-based ratios of the number of branches and ATMs assume a uniform distribution of bank outlets within a country's area and across its population, while in most countries bank branches and ATMs are concentrated in urban centers of the country and are accessible only to some individuals.",Automated teller machines are computerized telecommunications devices that provide clients of a financial institution with access to financial transactions in a public place.,Annual,"International Monetary Fund, Financial Access Survey.","Data are shown as the total number of ATMs for every 100,000 adults in the reporting country. Calculated as (number of ATMs)*100,000/adult population in the reporting country.",Financial Sector: Access,,
