,id,id_x,value,title,unit,id_y,Aggregationmethod,Developmentrelevance,Generalcomments,IndicatorName,License_Type,License_URL,Limitationsandexceptions,Longdefinition,Periodicity,Source,Statisticalconceptandmethodology,Topic,Previous_Indicator_Name,Notesfromoriginalsource,Shortdefinition,Othernotes,DataQuality,Derivationmethod,Otherweblinks,Unitofmeasure
0,SP.ADO.TFRT,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)",Adolescent fertility rate,"births per 1,000 women ages 15-19",SP.ADO.TFRT,Weighted average,,This is the Sustainable Development Goal indicator 3.7.2 [https://unstats.un.org/sdgs/metadata/].,"Adolescent fertility rate (births per 1,000 women ages 15-19)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Adolescent fertility rate is the number of births per 1,000 women ages 15-19.",Annual,"United Nations Population Division, World Population Prospects.","Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.

Adolescent fertility rates are based on data on registered live births from vital registration systems or, in the absence of such systems, from censuses or sample surveys. The estimated rates are generally considered reliable measures of fertility in the recent past. Where no empirical information on age-specific fertility rates is available, a model is used to estimate the share of births to adolescents. For countries without vital registration systems fertility rates are generally based on extrapolations from trends observed in censuses or surveys from earlier years.",Health: Reproductive health,,,,,,,,
1,SH.HIV.INCD.TL,SH.HIV.INCD.TL,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,Adults,ages 15+,SH.HIV.INCD.TL,,"Despite the existence of effective medications and treatment, HIV/AIDS is still a leading cause of death and public health threat in the world.  Low and middle income countries continue to bear a disproportionate share of the global burden of HIV/AIDS. The incidence rate provides a measure of progress toward preventing onward transmission of HIV. Also, the identification of newly infected persons will allow for interventions to reduce the risk of HIV transmission.",This indicator is related to Sustainable Development Goal 3.3.1 [https://unstats.un.org/sdgs/metadata/].,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Number of adults (ages 15+) and children (ages 0-14) newly infected with HIV.,Annual,UNAIDS estimates.,,Health: Risk factors,,,,,,,,
2,SH.HIV.INCD,SH.HIV.INCD,Adults (ages 15-49) newly infected with HIV,Adults,ages 15-49,SH.HIV.INCD,,"Despite the existence of effective medications and treatment, HIV/AIDS is still a leading cause of death and public health threat in the world.  Low and middle income countries continue to bear a disproportionate share of the global burden of HIV/AIDS. The incidence rate provides a measure of progress toward preventing onward transmission of HIV. Also, the identification of newly infected persons will allow for interventions to reduce the risk of HIV transmission.",This indicator is related to Sustainable Development Goal 3.3.1 [https://unstats.un.org/sdgs/metadata/].,Adults (ages 15-49) newly infected with HIV,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Number of adults (ages 15-49) newly infected with HIV.,Annual,UNAIDS estimates.,,Health: Risk factors,Number of adults (ages 15+) newly infected with HIV - Indicator name and definition have been changed since October 2020.,,,,,,,
3,SH.HIV.ARTC.ZS,SH.HIV.ARTC.ZS,Antiretroviral therapy coverage (% of people living with HIV),Antiretroviral therapy coverage,% of people living with HIV,SH.HIV.ARTC.ZS,Weighted average,,,Antiretroviral therapy coverage (% of people living with HIV),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information.,Antiretroviral therapy coverage indicates the percentage of all people living with HIV who are receiving antiretroviral therapy.,Annual,UNAIDS estimates.,"Data on HIV are from the Joint United Nations Programme on HIV/AIDS (UNAIDS). Changes in procedures and assumptions for estimating the data and better coordination with countries have resulted in improved estimates of HIV and AIDS.

Antiretroviral therapy has led to huge reductions in death and suffering of people with advanced HIV infection.",Health: Risk factors,,,,,,,,
4,SH.STA.ARIC.ZS,SH.STA.ARIC.ZS,ARI treatment (% of children under 5 taken to a health provider),ARI treatment,% of children under 5 taken to a health provider,SH.STA.ARIC.ZS,Weighted average,,,ARI treatment (% of children under 5 taken to a health provider),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Children with acute respiratory infection (ARI) who are taken to a health provider refers to the percentage of children under age five with ARI in the last two weeks who were taken to an appropriate health provider, including hospital, health center, dispensary, village health worker, clinic, and private physician.",Annual,"UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys.",Acute respiratory infection continues to be a leading cause of death among young children. Data are drawn mostly from household health surveys in which mothers report on number of episodes and treatment for acute respiratory infection.,Health: Disease prevention,,,,,,,,
5,SP.DYN.CBRT.IN,SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)","Birth rate, crude","per 1,000 people",SP.DYN.CBRT.IN,Weighted average,,,"Birth rate, crude (per 1,000 people)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Vital registers are the preferred source for these data, but in many developing countries systems for registering births and deaths are absent or incomplete because of deficiencies in the coverage of events or geographic areas. Many developing countries carry out special household surveys that ask respondents about recent births and deaths. Estimates derived in this way are subject to sampling errors and recall errors.","Crude birth rate indicates the number of live births occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.",Annual,"(1) United Nations Population Division. World Population Prospects: 2022 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.","Vital rates are based on data from birth and death registration systems, censuses, and sample surveys by national statistical offices and other organizations, or on demographic analysis. Data for the most recent year for some high-income countries are provisional estimates based on vital registers. The estimates for many countries are projections based on extrapolations of levels and trends from earlier years or interpolations of population estimates and projections from the United Nations Population Division.",Health: Population: Dynamics,,,"Crude birth rate indicates the number of live births per 1,000 midyear population.",,,,,
6,SH.HIV.INCD.14,SH.HIV.INCD.14,Children (ages 0-14) newly infected with HIV,Children,ages 0-14,SH.HIV.INCD.14,,"Despite the existence of effective medications and treatment, HIV/AIDS is still a leading cause of death and public health threat in the world.  Low and middle income countries continue to bear a disproportionate share of the global burden of HIV/AIDS. The incidence rate provides a measure of progress toward preventing onward transmission of HIV. Also, the identification of newly infected persons will allow for interventions to reduce the risk of HIV transmission.",This indicator is related to Sustainable Development Goal 3.3.1 [https://unstats.un.org/sdgs/metadata/].,Children (ages 0-14) newly infected with HIV,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Number of children (ages 0-14) newly infected with HIV.,Annual,UNAIDS estimates.,,Health: Risk factors,,,,,,,,
7,SP.REG.BRTH.RU.ZS,SP.REG.BRTH.RU.ZS,"Completeness of birth registration, rural (%)","Completeness of birth registration, rural",%,SP.REG.BRTH.RU.ZS,,"Society typically first acknowledges a child’s existence and identity through birth registration. The right to be recognized as a person before the law is a critical step in ensuring lifelong protection and is a prerequisite for exercising all other rights. A birth certificate, issued following birth registration, is an important identity document for children. Birth registration also serves a statistical purpose. Universal birth registration is an essential part of a system of vital statistics, which tracks the major milestones in a person’s life - from birth to marriage and death. Such data are essential for planning and implementing development policies and programs, particularly in health, education, housing, water and sanitation, employment, agriculture and industrial production. The proportion of children under 5 years of age whose births have been registered with a civil authority is the official indicator for SDG Target 16.9, which sets out to “By 2030, provide legal identity for all, including birth registration”.",,"Completeness of birth registration, rural (%)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Data on the prevalence of birth registration is collected mainly through censuses, civil registration systems (CRVS) and household surveys. Civil registration systems that are functioning effectively compile vital statistics that are used to compare the estimated total number of births in a country with the absolute number of registered births during a given period. However, the systematic recording of births in many countries remains a serious challenge. In the absence of reliable administrative data, household surveys have become a key source of data to monitor levels and trends in birth registration. In most low- and middle-income countries, such surveys represent the sole source of this information.

Substantial differences can exist between CRVS coverage and birth registration levels as captured by household surveys. The differences are primarily because data from CRVS typically refer to the percentage of all births that have been registered (often within a specific timeframe) whereas household surveys often represent the percentage of children under age five whose births are registered. The latter (the level of registration among children under 5) is specified in the SDG indicator (16.9).",Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey. The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered.,Annual,Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF.,"Birth registration refers to the permanent and official recording of a child's existence by some administrative levels of the State that is normally coordinated by a particular branch of the government.

Birth registration estimates are primarily drawn from nationally representative household surveys such as the Multiple Indicator Cluster Surveys (MICS) and Demographic and Health Surveys (DHS). Other data sources include other national surveys, censuses and vital statistics from civil registration systems, and estimated coverage of birth registration within national civil registration systems from the United Nations Statistics Division (UNSD).",Health: Population: Dynamics,,,,,,,,
8,SN.ITK.SALT.ZS,SN.ITK.SALT.ZS,Consumption of iodized salt (% of households),Consumption of iodized salt,% of households,SN.ITK.SALT.ZS,Weighted average,"Iodine deficiency can lead to a variety of health and developmental consequences known as iodine deficiency disorders (IDDs). Iodine deficiency is a major cause of preventable mental retardation. It is especially damaging during pregnancy and in early childhood. In their most severe forms, IDDs can lead to cretinism, stillbirth and miscarriage; even mild deficiency can cause a significant loss of learning ability.  Thus, it is crucially important that pregnant women and young children in particular get adequate levels of iodine.
IDD can easily be prevented at low cost, however, with small quantities of iodine. One of the best and least expensive methods of preventing iodine deficiency disorder is by simply iodizing table salt, which is currently done in many countries. It represents one of the easiest and most cost-effective interventions for social and economic development.","Iodine deficiency is the single most important cause of preventable mental retardation, contributes significantly to the risk of stillbirth and miscarriage, and increases the incidence of infant mortality. A diet low in iodine is the main cause of iodine deficiency. It usually occurs among populations living in areas where the soil has been depleted of iodine. If soil is deficient in iodine, then so are the plants grown in it, including the grains and vegetables that people and animals consume. There are almost no countries in the world where iodine deficiency has not been a public health problem. Many newborns in low- and middle-income countries remain unprotected from the lifelong consequences of brain damage associated with iodine deficiency disorders, which affect a child's ability to learn and to earn a living as an adult, and in turn prevents children, communities, and countries from fulfilling their potential (UNICEF, www.childinfo.org). Widely used and inexpensive, iodized salt is the best source of iodine, and a global campaign to iodize edible salt is significantly reducing the risks associated with iodine deficiency.",Consumption of iodized salt (% of households),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Percentage of households which have salt they used for cooking that tested positive (>0ppm) for presence of iodine.,Annual,"United Nations Children's Fund, Division of Data, Analysis, Planning and Monitoring (2019). UNICEF Global Databases on Iodized salt, New York, June 2019","Most of the data on consumption of iodized salt are derived from household surveys. For the data that are from household surveys, the year refers to the survey year.",Health: Nutrition,,,,,,,,
9,SP.DYN.CONM.ZS,SP.DYN.CONM.ZS,"Contraceptive prevalence, any modern method (% of married women ages 15-49)","Contraceptive prevalence, any modern method",% of married women ages 15-49,SP.DYN.CONM.ZS,Weighted average,"Contraceptive prevalence among women of reproductive age is related to maternal and child health, as well as gender equality and HIV/AIDS.   Contraceptives enable women and men to make informed decisions on family planning – whether, when, and how many children they would have. 

Preventing unwanted pregnancies is essential to reducing maternal deaths, especially in low- and middle- income countries where maternal mortality rate is high.  With effective contraception, life-threatening pregnancy complications can be reduced, and thus maternal deaths can be averted.  

Using condoms (one of the modern contraceptive methods) can prevent pregnancy as well as sexually transmitted diseases, including HIV.",,"Contraceptive prevalence, any modern method (% of married women ages 15-49)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"While the data availability on contraceptive use has increased, in many countries the contraceptive use data are available only for married women. 

The time frame used to assess contraceptive prevalence may vary. In many surveys, it is left to the respondent to determine what is meant by “currently using” a method of contraception.","Contraceptive prevalence, any modern method is the percentage of married women ages 15-49 who are practicing, or whose sexual partners are practicing, at least one modern method of contraception.  Modern methods of contraception include female and male sterilization, oral hormonal pills, the intra-uterine device (IUD), the male condom, injectables, the implant (including Norplant), vaginal barrier methods, the female condom and emergency contraception.",Annual,"Household surveys, including Demographic and Health Surveys and Multiple Indicator Cluster Surveys. Largely compiled by United Nations Population Division.","Contraceptive prevalence rates are obtained mainly from nationally representative household surveys, including: Demographic and Health Surveys; Multiple Indicator Cluster Surveys; Contraceptive Prevalence Surveys; Gender and Generations Survey; Reproductive Health Surveys; and World Fertility Surveys.  Additional information was provided by other international survey programs and national surveys.  

Married women refer to women who are married (defined in relation to the marriage laws or customs of a country) and to women in a union, which refers to women living with their partner in the same household (also referred to as cohabiting unions, consensual unions, unmarried unions, or “living together”).",Health: Reproductive health,,,,"As of December 2021, for better consistency the contraceptive prevalence data only for currently married women or in union are included in this indicator. It means the data for the following categories are excluded from this indicator: ever-married women; all women; sexually active women; which data may have been included in this indicator before December 2021. In response to this, two new contraceptive prevalence indicators (any method and any modern method) for sexually active unmarried women 15-49 are added to the HealthStats database. https://databank.worldbank.org/source/health-nutrition-and-population-statistics",,,,
