,id,id_x,value,title,unit,id_y,Aggregationmethod,Generalcomments,IndicatorName,License_Type,License_URL,Longdefinition,Periodicity,Source,Topic,Developmentrelevance,Statisticalconceptandmethodology,Limitationsandexceptions,Notesfromoriginalsource,BasePeriod,Shortdefinition,Dataset
0,TX.VAL.AGRI.ZS.UN,TX.VAL.AGRI.ZS.UN,Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials exports,% of merchandise exports,TX.VAL.AGRI.ZS.UN,Weighted average,Merchandise export shares may not sum to 100 percent because of unclassified trade.,Agricultural raw materials exports (% of merchandise exports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Agricultural raw materials comprise SITC section 2 (crude materials except fuels) excluding divisions 22, 27 (crude fertilizers and minerals excluding coal, petroleum, and precious stones), and 28 (metalliferous ores and scrap).",Annual,World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.,Private Sector & Trade: Exports,,The classification of commodity groups is based on the Standard International Trade Classification (SITC) revision 3.,Previous editions contained data based on the SITC revision 1. Data for earlier years in previous editions may differ because of the change in methodology. Concordance tables are available to convert data reported in one system to another.,,,,
1,TM.VAL.AGRI.ZS.UN,TM.VAL.AGRI.ZS.UN,Agricultural raw materials imports (% of merchandise imports),Agricultural raw materials imports,% of merchandise imports,TM.VAL.AGRI.ZS.UN,Weighted average,Merchandise import shares may not sum to 100 percent because of unclassified trade.,Agricultural raw materials imports (% of merchandise imports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Agricultural raw materials comprise SITC section 2 (crude materials except fuels) excluding divisions 22, 27 (crude fertilizers and minerals excluding coal, petroleum, and precious stones), and 28 (metalliferous ores and scrap).",Annual,World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.,Private Sector & Trade: Imports,,The classification of commodity groups is based on the Standard International Trade Classification (SITC) revision 3.,Previous editions contained data based on the SITC revision 1. Data for earlier years in previous editions may differ because of the change in methodology. Concordance tables are available to convert data reported in one system to another.,,,,
2,TM.TAX.MANF.BC.ZS,TM.TAX.MANF.BC.ZS,"Binding coverage, manufactured products (%)","Binding coverage, manufactured products",%,TM.TAX.MANF.BC.ZS,,,"Binding coverage, manufactured products (%)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Binding coverage is the percentage of product lines with an agreed bound rate. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.,Annual,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization.",Private Sector & Trade: Tariffs,,,,,,Binding coverage is the percentage of product lines with an agreed bound rate. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.,
3,TM.TAX.MANF.BR.ZS,TM.TAX.MANF.BR.ZS,"Bound rate, simple mean, manufactured products (%)","Bound rate, simple mean, manufactured products",%,TM.TAX.MANF.BR.ZS,,,"Bound rate, simple mean, manufactured products (%)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.,Annual,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization.",Private Sector & Trade: Tariffs,,,,,,Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.,
4,TM.TAX.TCOM.BR.ZS,TM.TAX.TCOM.BR.ZS,"Bound rate, simple mean, primary products (%)","Bound rate, simple mean, primary products",%,TM.TAX.TCOM.BR.ZS,,,"Bound rate, simple mean, primary products (%)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals).,Annual,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization.",Private Sector & Trade: Tariffs,,,,,,Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals).,
5,TM.VAL.SERV.CD.WT,TM.VAL.SERV.CD.WT,Commercial service imports (current US$),Commercial service imports,current US$,TM.VAL.SERV.CD.WT,Gap-filled total,,Commercial service imports (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Commercial service imports are total service imports minus imports of government services not included elsewhere. International transactions in services are defined by the IMF's Balance of Payments Manual (1993) as the economic output of intangible commodities that may be produced, transferred, and consumed at the same time. Definitions may vary among reporting economies.",Annual,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Private Sector & Trade: Imports,"Trade in services differs from trade in goods because services are produced and consumed at the same time. Thus services to a traveler may be consumed in the producing country (for example, use of a hotel room) but are classified as imports of the traveler's country. In other cases services may be supplied from a remote location; for example, insurance services may be supplied from one location and consumed in another.","The balance of payments (BoP) is a double-entry accounting system that shows all flows of goods and services into and out of an economy; all transfers that are the counterpart of real resources or financial claims provided to or by the rest of the world without a quid pro quo, such as donations and grants; and all changes in residents' claims on and liabilities to nonresidents that arise from economic transactions. All transactions are recorded twice - once as a credit and once as a debit. In principle the net balance should be zero, but in practice the accounts often do not balance, requiring inclusion of a balancing item, net errors and omissions.

The concepts and definitions underlying the data are based on the sixth edition of the International Monetary Fund's (IMF) Balance of Payments Manual (BPM6). Balance of payments data for 2005 onward will be presented in accord with the BPM6. The historical BPM5 data series will end with data for 2008, which can be accessed through the World Development Indicators archives.

The complete balance of payments methodology can be accessed through the International Monetary Fund website (www.imf.org/external/np/sta/bop/bop.htm).","Balance of payments statistics, the main source of information on international trade in services, have many weaknesses. Disaggregation of important components may be limited and varies considerably across countries. There are inconsistencies in the methods used to report items. And the recording of major flows as net items is common (for example, insurance transactions are often recorded as premiums less claims). These factors contribute to a downward bias in the value of the service trade reported in the balance of payments.

Efforts are being made to improve the coverage, quality, and consistency of these data. Eurostat and the Organisation for Economic Co-operation and Development, for example, are working together to improve the collection of statistics on trade in services in member countries.

Still, difficulties in capturing all the dimensions of international trade in services mean that the record is likely to remain incomplete. Cross-border intrafirm service transactions, which are usually not captured in the balance of payments, have increased in recent years. An example is transnational corporations' use of mainframe computers around the clock for data processing, exploiting time zone differences between their home country and the host countries of their affiliates. Another important dimension of service trade not captured by conventional balance of payments statistics is establishment trade - sales in the host country by foreign affiliates. By contrast, cross-border intrafirm transactions in merchandise may be reported as exports or imports in the balance of payments.",,,,
6,IC.REG.COST.PC.ZS,IC.REG.COST.PC.ZS,Cost of business start-up procedures (% of GNI per capita),Cost of business start-up procedures,% of GNI per capita,IC.REG.COST.PC.ZS,Unweighted average,Data are presented for the survey year instead of publication year.,Cost of business start-up procedures (% of GNI per capita),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Cost to register a business is normalized by presenting it as a percentage of gross national income (GNI) per capita.,Annual,"World Bank, Doing Business project (http://www.doingbusiness.org/). NOTE: Doing Business has been discontinued as of 9/16/2021. For more information: https://bit.ly/3CLCbme",Private Sector & Trade: Business environment,"The economic health of a country is measured not only in macroeconomic terms but also by other factors that shape daily economic activity such as laws, regulations, and institutional arrangements. The data measure business regulation, gauge regulatory outcomes, and measure the extent of legal protection of property, the flexibility of employment regulation, and the tax burden on businesses.

The fundamental premise of this data is that economic activity requires good rules and regulations that are efficient, accessible to all who need to use them, and simple to implement. Thus sometimes there is more emphasis on more regulation, such as stricter disclosure requirements in related-party transactions, and other times emphasis is on for simplified regulations, such as a one-stop shop for completing business startup formalities.

Entrepreneurs may not be aware of all required procedures or may avoid legally required procedures altogether. But where regulation is particularly onerous, levels of informality are higher, which comes at a cost: firms in the informal sector usually grow more slowly, have less access to credit, and employ fewer workers - and those workers remain outside the protections of labor law. The indicator can help policymakers understand the business environment in a country and - along with information from other sources such as the World Bank's Enterprise Surveys - provide insights into potential areas of reform.","Data are collected by the World Bank with a standardized survey that uses a simple business case to ensure comparability across economies and over time - with assumptions about the legal form of the business, its size, its location, and nature of its operation. Surveys are administered through more than 9,000 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials, and other professionals who routinely administer or advise on legal and regulatory requirements.

Entrepreneurs around the world face a range of challenges. One of them is inefficient regulation. The indicator measures the procedures, time, cost and paid-in minimum capital required for a small or medium-size limited liability company to start up and formally operate.

The Doing Business project of the World Bank encompasses two types of data: data from readings of laws and regulations and data on time and motion indicators that measure efficiency in achieving a regulatory goal. Within the time and motion indicators cost estimates are recorded from official fee schedules where applicable. The data from surveys are subjected to numerous tests for robustness, which lead to revision or expansion of the information collected.","The Doing Business methodology has limitations that should be considered when interpreting the data. First, the data collected refer to businesses in the economy's largest city and may not represent regulations in other locations of the economy. To address this limitation, subnational indicators are being collected for selected economies. These subnational studies point to significant differences in the speed of reform and the ease of doing business across cities in the same economy. Second, the data often focus on a specific business form - generally a limited liability company of a specified size - and may not represent regulation for other types of businesses such as sole proprietorships. Third, transactions described in a standardized business case refer to a specific set of issues and may not represent the full set of issues a business encounters. Fourth, the time measures involve an element of judgment by the expert respondents. When sources indicate different estimates, the Doing Business time indicators represent the median values of several responses given under the assumptions of the standardized case. Fifth, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures.",,,,
7,IC.REG.COST.PC.FE.ZS,IC.REG.COST.PC.FE.ZS,"Cost of business start-up procedures, female (% of GNI per capita)","Cost of business start-up procedures, female",% of GNI per capita,IC.REG.COST.PC.FE.ZS,Unweighted average,Data are presented for the survey year instead of publication year.,"Cost of business start-up procedures, female (% of GNI per capita)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Cost to register a business is normalized by presenting it as a percentage of gross national income (GNI) per capita.,Annual,"World Bank, Doing Business project (http://www.doingbusiness.org/). NOTE: Doing Business has been discontinued as of 9/16/2021. For more information: https://bit.ly/3CLCbme",Private Sector & Trade: Business environment,"The economic health of a country is measured not only in macroeconomic terms but also by other factors that shape daily economic activity such as laws, regulations, and institutional arrangements. The data measure business regulation, gauge regulatory outcomes, and measure the extent of legal protection of property, the flexibility of employment regulation, and the tax burden on businesses.

The fundamental premise of this data is that economic activity requires good rules and regulations that are efficient, accessible to all who need to use them, and simple to implement. Thus sometimes there is more emphasis on more regulation, such as stricter disclosure requirements in related-party transactions, and other times emphasis is on for simplified regulations, such as a one-stop shop for completing business startup formalities.

Entrepreneurs may not be aware of all required procedures or may avoid legally required procedures altogether. But where regulation is particularly onerous, levels of informality are higher, which comes at a cost: firms in the informal sector usually grow more slowly, have less access to credit, and employ fewer workers - and those workers remain outside the protections of labor law. The indicator can help policymakers understand the business environment in a country and - along with information from other sources such as the World Bank's Enterprise Surveys - provide insights into potential areas of reform.","Data are collected by the World Bank with a standardized survey that uses a simple business case to ensure comparability across economies and over time - with assumptions about the legal form of the business, its size, its location, and nature of its operation. Surveys are administered through more than 9,000 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials, and other professionals who routinely administer or advise on legal and regulatory requirements.

Entrepreneurs around the world face a range of challenges. One of them is inefficient regulation. This indicator measures the number of procedures, time, cost and paid-in minimum capital requirement for a small- to medium-size limited liability company to start up and formally operate in each economy’s largest business city. To make the data comparable across 190 economies, Doing Business uses a standardized business that is 100% domestically owned, has a start-up capital equivalent to 10 times the income per capita, engages in general industrial or commercial activities and employs between 10 and 50 people one month after the commencement of operations, all of whom are domestic nationals.  The starting a business indicators consider two cases of local limited liability companies that are identical in all aspects, except that one company is owned by five married women and the other by five married men.  

The Doing Business project of the World Bank encompasses two types of data: data from readings of laws and regulations and data on time and motion indicators that measure efficiency in achieving a regulatory goal. Within the time and motion indicators cost estimates are recorded from official fee schedules where applicable. The data from surveys are subjected to numerous tests for robustness, which lead to revision or expansion of the information collected.","The Doing Business methodology has limitations that should be considered when interpreting the data. First, the data collected refer to businesses in the economy's largest city and may not represent regulations in other locations of the economy. To address this limitation, subnational indicators are being collected for selected economies. These subnational studies point to significant differences in the speed of reform and the ease of doing business across cities in the same economy. Second, the data often focus on a specific business form - generally a limited liability company of a specified size - and may not represent regulation for other types of businesses such as sole proprietorships. Third, transactions described in a standardized business case refer to a specific set of issues and may not represent the full set of issues a business encounters. Fourth, the time measures involve an element of judgment by the expert respondents. When sources indicate different estimates, the Doing Business time indicators represent the median values of several responses given under the assumptions of the standardized case. Fifth, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. Please also see: https://www.doingbusiness.org/en/about-us/faq",,,,
8,IC.CRD.INFO.XQ,IC.CRD.INFO.XQ,Depth of credit information index (0=low to 8=high),Depth of credit information index,0=low to 8=high,IC.CRD.INFO.XQ,Unweighted average,Data are presented for the survey year instead of publication year.,Depth of credit information index (0=low to 8=high),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Depth of credit information index measures rules affecting the scope, accessibility, and quality of credit information available through public or private credit registries. The index ranges from 0 to 8, with higher values indicating the availability of more credit information, from either a public registry or a private bureau, to facilitate lending decisions.",Annual,"World Bank, Doing Business project (http://www.doingbusiness.org/). NOTE: Doing Business has been discontinued as of 9/16/2021. For more information: https://bit.ly/3CLCbme",Private Sector & Trade: Business environment,"Access to finance can expand opportunities for all with higher levels of access and use of banking services associated with lower financing obstacles for people and businesses. A stable financial system that promotes efficient savings and investment is also crucial for a thriving democracy and market economy.

There are several aspects of access to financial services: availability, cost, and quality of services. The development and growth of credit markets depend on access to timely, reliable, and accurate data on borrowers' credit experiences. Access to credit can be improved by making it easy to create and enforce collateral agreements and by increasing information about potential borrowers' creditworthiness. Lenders look at a borrower's credit history and collateral. Where credit registries and effective collateral laws are absent - as in many developing countries - banks make fewer loans. Indicators that cover getting credit include the strength of legal rights index and the depth of credit information index.

The economic health of a country is measured not only in macroeconomic terms but also by other factors that shape daily economic activity such as laws, regulations, and institutional arrangements. The data measure business regulation, gauge regulatory outcomes, and measure the extent of legal protection of property, the flexibility of employment regulation, and the tax burden on businesses.

The fundamental premise of this data is that economic activity requires good rules and regulations that are efficient, accessible to all who need to use them, and simple to implement. Thus sometimes there is more emphasis on more regulation, such as stricter disclosure requirements in related-party transactions, and other times emphasis is on for simplified regulations, such as a one-stop shop for completing business startup formalities.

Entrepreneurs may not be aware of all required procedures or may avoid legally required procedures altogether. But where regulation is particularly onerous, levels of informality are higher, which comes at a cost: firms in the informal sector usually grow more slowly, have less access to credit, and employ fewer workers - and those workers remain outside the protections of labor law. The indicator can help policymakers understand the business environment in a country and - along with information from other sources such as the World Bank's Enterprise Surveys - provide insights into potential areas of reform.","For Doing Business 2015, the credit information index has expanded with two new measurements, namely whether (1) banks and financial institutions access credit bureaus and credit registries' databases through an online platform or system-to-system connection; and (2) bureau or registry credit scores are offered as a value added service to help banks and financial institutions to assess the creditworthiness of borrowers. Furthermore, if the credit bureau or registry is not operational or covers less than 5% of the adult population, the score on the depth of credit information index is 0. (Previously, the coverage threshold to score on the credit information index was 0.1%. In Doing Business 2015 this threshold has been increased to 5%.)

Data are collected by the World Bank with a standardized survey that uses a simple business case to ensure comparability across economies and over time - with assumptions about the legal form of the business, its size, its location, and nature of its operation. Surveys are administered through more than 9,000 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials, and other professionals who routinely administer or advise on legal and regulatory requirements.

The Doing Business project of the World Bank encompasses two types of data: data from readings of laws and regulations and data on time and motion indicators that measure efficiency in achieving a regulatory goal. Within the time and motion indicators cost estimates are recorded from official fee schedules where applicable. The data from surveys are subjected to numerous tests for robustness, which lead to revision or expansion of the information collected. For more information on methodology, see http://www.doingbusiness.org/Methodology/getting-credit#legalRights.","The Doing Business methodology has limitations that should be considered when interpreting the data. First, the data collected refer to businesses in the economy's largest city and may not represent regulations in other locations of the economy. To address this limitation, subnational indicators are being collected for selected economies. These subnational studies point to significant differences in the speed of reform and the ease of doing business across cities in the same economy. Second, the data often focus on a specific business form - generally a limited liability company of a specified size - and may not represent regulation for other types of businesses such as sole proprietorships. Third, transactions described in a standardized business case refer to a specific set of issues and may not represent the full set of issues a business encounters. Fourth, the time measures involve an element of judgment by the expert respondents. When sources indicate different estimates, the Doing Business time indicators represent the median values of several responses given under the assumptions of the standardized case. Fifth, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. Please also see: https://www.doingbusiness.org/en/about-us/faq",,,,
9,IC.BUS.EASE.XQ,IC.BUS.EASE.XQ,Ease of doing business rank (1=most business-friendly regulations),Ease of doing business rank,1=most business-friendly regulations,IC.BUS.EASE.XQ,,Data are presented for the survey year instead of publication year. The country ranking is only available for the latest year.,Ease of doing business rank (1=most business-friendly regulations),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Ease of doing business ranks economies from 1 to 190, with first place being the best. The ranking of economies is determined by sorting the aggregate ease of doing business scores. A high ranking (a low numerical rank) means that the regulatory environment is conducive to business operation.",Annual,"World Bank, Doing Business project (http://www.doingbusiness.org/). NOTE: Doing Business has been discontinued as of 9/16/2021. For more information: https://bit.ly/3CLCbme",Private Sector & Trade: Business environment,"The economic health of a country is measured not only in macroeconomic terms but also by other factors that shape daily economic activity such as laws, regulations, and institutional arrangements. The fundamental premise of this data is that economic activity requires good rules and regulations that are efficient, accessible to all who need to use them, and simple to implement. 
The Doing Business project provides objective measures of business regulations and their enforcement across 190 economies and selected cities at the subnational and regional level.
The Doing Business project, launched in 2002, looks at domestic small and medium-size companies and measures the regulations applying to them through their life cycle.
By gathering and analyzing comprehensive quantitative data to compare business regulation environments across economies and over time, Doing Business encourages economies to compete towards more efficient regulation; offers measurable benchmarks for reform; and serves as a resource for academics, journalists, private sector researchers and others interested in the business climate of each economy.","The ranking of economies is determined by sorting the aggregate ease of doing business scores. The aggregate ease of doing business score for each economy is the simple average of their scores on each of the 10 topics included in the ranking: starting a business, dealing with construction permits, getting electricity, registering property, getting credit, protecting minority investors, paying taxes, trading across borders, enforcing contracts and resolving insolvency. All topics are weighted equally. 

Data are collected by the World Bank with a standardized survey that uses a simple business case to ensure comparability across economies and over time - with assumptions about the legal form of the business, its size, its location, and nature of its operation. Surveys are administered through more than 9,000 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials, and other professionals who routinely administer or advise on legal and regulatory requirements.

The Doing Business project of the World Bank encompasses two types of data: data from readings of laws and regulations and data on time and motion indicators that measure efficiency in achieving a regulatory goal. Within the time and motion indicators cost estimates are recorded from official fee schedules where applicable. The data from surveys are subjected to numerous tests for robustness, which lead to revision or expansion of the information collected. Please also refer to the Doing Business website for additional information: https://www.doingbusiness.org/en/methodology","The Doing Business methodology has limitations that should be considered when interpreting the data. First, the data collected refer to businesses in the economy's largest city and may not represent regulations in other locations of the economy. To address this limitation, subnational indicators are being collected for selected economies. These subnational studies point to significant differences in the speed of reform and the ease of doing business across cities in the same economy. Second, the data often focus on a specific business form - generally a limited liability company of a specified size - and may not represent regulation for other types of businesses such as sole proprietorships. Third, transactions described in a standardized business case refer to a specific set of issues and may not represent the full set of issues a business encounters. Fourth, the time measures involve an element of judgment by the expert respondents. When sources indicate different estimates, the Doing Business time indicators represent the median values of several responses given under the assumptions of the standardized case. Fifth, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. Please also see: https://www.doingbusiness.org/en/about-us/faq",,,,
