,id,id_x,value,title,unit,id_y,Aggregationmethod,Developmentrelevance,IndicatorName,License_Type,License_URL,Limitationsandexceptions,Longdefinition,Periodicity,Source,Statisticalconceptandmethodology,Topic,Generalcomments,Notesfromoriginalsource,Shortdefinition
0,SP.ADO.TFRT,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)",Adolescent fertility rate,"births per 1,000 women ages 15-19",SP.ADO.TFRT,Weighted average,,"Adolescent fertility rate (births per 1,000 women ages 15-19)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Adolescent fertility rate is the number of births per 1,000 women ages 15-19.",Annual,"United Nations Population Division, World Population Prospects.","Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.

Adolescent fertility rates are based on data on registered live births from vital registration systems or, in the absence of such systems, from censuses or sample surveys. The estimated rates are generally considered reliable measures of fertility in the recent past. Where no empirical information on age-specific fertility rates is available, a model is used to estimate the share of births to adolescents. For countries without vital registration systems fertility rates are generally based on extrapolations from trends observed in censuses or surveys from earlier years.",Health: Reproductive health,This is the Sustainable Development Goal indicator 3.7.2 [https://unstats.un.org/sdgs/metadata/].,,
1,SL.TLF.0714.FE.ZS,SL.TLF.0714.FE.ZS,"Children in employment, female (% of female children ages 7-14)","Children in employment, female",% of female children ages 7-14,SL.TLF.0714.FE.ZS,,"In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment.","Children in employment, female (% of female children ages 7-14)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Although efforts are made to harmonize the definition of employment and the questions on employment in survey questionnaires, significant differences remain in the survey instruments that collect data on children in employment and in the sampling design underlying the surveys. Differences exist not only across different household surveys in the same country but also across the same type of survey carried out in different countries, so estimates of working children are not fully comparable across countries. For detailed source information, see footnotes at each data point.",Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.,Annual,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.","Data are from household surveys by the International Labor Organization (ILO), the United Nations Children's Fund (UNICEF), the World Bank, and national statistical offices. The surveys yield data on education, employment, health, expenditure, and consumption indicators related to children's work. Since children's work is captured in the sense of ""economic activity,"" the data refer to children in employment, a broader concept than child labor (see ILO 2009a for details on this distinction).

Household survey data generally include information on work type - for example, whether a child is working for payment in cash or in kind or is involved in unpaid work, working for someone who is not a member of the household, or involved in any type of family work (on the farm or in a business).

In line with the definition of economic activity adopted by the 13th International Conference of Labour Statisticians, the threshold set by the 1993 UN System of National Accounts for classifying a person as employed is to have been engaged at least one hour in any activity relating to the production of goods and services during the reference period. Children seeking work are thus excluded. Economic activity covers all market production and certain nonmarket production, including production of goods for own use. It excludes unpaid household services (commonly called ""household chores"") - that is, the production of domestic and personal services by household members for a household's own consumption.

Country surveys define the ages for child labor as 5-17. The data here have been recalculated to present statistics for children ages 7-14.",Social Protection & Labor: Economic activity,,,
2,SL.TLF.0714.MA.ZS,SL.TLF.0714.MA.ZS,"Children in employment, male (% of male children ages 7-14)","Children in employment, male",% of male children ages 7-14,SL.TLF.0714.MA.ZS,,"In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment.","Children in employment, male (% of male children ages 7-14)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Although efforts are made to harmonize the definition of employment and the questions on employment in survey questionnaires, significant differences remain in the survey instruments that collect data on children in employment and in the sampling design underlying the surveys. Differences exist not only across different household surveys in the same country but also across the same type of survey carried out in different countries, so estimates of working children are not fully comparable across countries. For detailed source information, see footnotes at each data point.",Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.,Annual,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.","Data are from household surveys by the International Labor Organization (ILO), the United Nations Children's Fund (UNICEF), the World Bank, and national statistical offices. The surveys yield data on education, employment, health, expenditure, and consumption indicators related to children's work. Since children's work is captured in the sense of ""economic activity,"" the data refer to children in employment, a broader concept than child labor (see ILO 2009a for details on this distinction).

Household survey data generally include information on work type - for example, whether a child is working for payment in cash or in kind or is involved in unpaid work, working for someone who is not a member of the household, or involved in any type of family work (on the farm or in a business).

In line with the definition of economic activity adopted by the 13th International Conference of Labour Statisticians, the threshold set by the 1993 UN System of National Accounts for classifying a person as employed is to have been engaged at least one hour in any activity relating to the production of goods and services during the reference period. Children seeking work are thus excluded. Economic activity covers all market production and certain nonmarket production, including production of goods for own use. It excludes unpaid household services (commonly called ""household chores"") - that is, the production of domestic and personal services by household members for a household's own consumption.

Country surveys define the ages for child labor as 5-17. The data here have been recalculated to present statistics for children ages 7-14.",Social Protection & Labor: Economic activity,,,
3,SL.TLF.0714.SW.ZS,SL.TLF.0714.SW.ZS,"Children in employment, study and work (% of children in employment, ages 7-14)","Children in employment, study and work","% of children in employment, ages 7-14",SL.TLF.0714.SW.ZS,,"In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment.","Children in employment, study and work (% of children in employment, ages 7-14)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Although efforts are made to harmonize the definition of employment and the questions on employment in survey questionnaires, significant differences remain in the survey instruments that collect data on children in employment and in the sampling design underlying the surveys. Differences exist not only across different household surveys in the same country but also across the same type of survey carried out in different countries, so estimates of working children are not fully comparable across countries. For detailed source information, see footnotes at each data point.",Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Study and work refer to children attending school in combination with economic activity.,Annual,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.","Data are from household surveys by the International Labor Organization (ILO), the United Nations Children's Fund (UNICEF), the World Bank, and national statistical offices. The surveys yield data on education, employment, health, expenditure, and consumption indicators related to children's work. Since children's work is captured in the sense of ""economic activity,"" the data refer to children in employment, a broader concept than child labor (see ILO 2009a for details on this distinction).

Household survey data generally include information on work type - for example, whether a child is working for payment in cash or in kind or is involved in unpaid work, working for someone who is not a member of the household, or involved in any type of family work (on the farm or in a business).

In line with the definition of economic activity adopted by the 13th International Conference of Labour Statisticians, the threshold set by the 1993 UN System of National Accounts for classifying a person as employed is to have been engaged at least one hour in any activity relating to the production of goods and services during the reference period. Children seeking work are thus excluded. Economic activity covers all market production and certain nonmarket production, including production of goods for own use. It excludes unpaid household services (commonly called ""household chores"") - that is, the production of domestic and personal services by household members for a household's own consumption.

Country surveys define the ages for child labor as 5-17. The data here have been recalculated to present statistics for children ages 7-14.",Social Protection & Labor: Economic activity,,,
4,SL.TLF.0714.SW.FE.ZS,SL.TLF.0714.SW.FE.ZS,"Children in employment, study and work, female (% of female children in employment, ages 7-14)","Children in employment, study and work, female","% of female children in employment, ages 7-14",SL.TLF.0714.SW.FE.ZS,,"In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment.","Children in employment, study and work, female (% of female children in employment, ages 7-14)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Although efforts are made to harmonize the definition of employment and the questions on employment in survey questionnaires, significant differences remain in the survey instruments that collect data on children in employment and in the sampling design underlying the surveys. Differences exist not only across different household surveys in the same country but also across the same type of survey carried out in different countries, so estimates of working children are not fully comparable across countries. For detailed source information, see footnotes at each data point.",Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Study and work refer to children attending school in combination with economic activity.,Annual,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.","Data are from household surveys by the International Labor Organization (ILO), the United Nations Children's Fund (UNICEF), the World Bank, and national statistical offices. The surveys yield data on education, employment, health, expenditure, and consumption indicators related to children's work. Since children's work is captured in the sense of ""economic activity,"" the data refer to children in employment, a broader concept than child labor (see ILO 2009a for details on this distinction).

Household survey data generally include information on work type - for example, whether a child is working for payment in cash or in kind or is involved in unpaid work, working for someone who is not a member of the household, or involved in any type of family work (on the farm or in a business).

In line with the definition of economic activity adopted by the 13th International Conference of Labour Statisticians, the threshold set by the 1993 UN System of National Accounts for classifying a person as employed is to have been engaged at least one hour in any activity relating to the production of goods and services during the reference period. Children seeking work are thus excluded. Economic activity covers all market production and certain nonmarket production, including production of goods for own use. It excludes unpaid household services (commonly called ""household chores"") - that is, the production of domestic and personal services by household members for a household's own consumption.

Country surveys define the ages for child labor as 5-17. The data here have been recalculated to present statistics for children ages 7-14.",Social Protection & Labor: Economic activity,,,
5,SL.TLF.0714.SW.MA.ZS,SL.TLF.0714.SW.MA.ZS,"Children in employment, study and work, male (% of male children in employment, ages 7-14)","Children in employment, study and work, male","% of male children in employment, ages 7-14",SL.TLF.0714.SW.MA.ZS,,"In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment.","Children in employment, study and work, male (% of male children in employment, ages 7-14)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Although efforts are made to harmonize the definition of employment and the questions on employment in survey questionnaires, significant differences remain in the survey instruments that collect data on children in employment and in the sampling design underlying the surveys. Differences exist not only across different household surveys in the same country but also across the same type of survey carried out in different countries, so estimates of working children are not fully comparable across countries. For detailed source information, see footnotes at each data point.",Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Study and work refer to children attending school in combination with economic activity.,Annual,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.","Data are from household surveys by the International Labor Organization (ILO), the United Nations Children's Fund (UNICEF), the World Bank, and national statistical offices. The surveys yield data on education, employment, health, expenditure, and consumption indicators related to children's work. Since children's work is captured in the sense of ""economic activity,"" the data refer to children in employment, a broader concept than child labor (see ILO 2009a for details on this distinction).

Household survey data generally include information on work type - for example, whether a child is working for payment in cash or in kind or is involved in unpaid work, working for someone who is not a member of the household, or involved in any type of family work (on the farm or in a business).

In line with the definition of economic activity adopted by the 13th International Conference of Labour Statisticians, the threshold set by the 1993 UN System of National Accounts for classifying a person as employed is to have been engaged at least one hour in any activity relating to the production of goods and services during the reference period. Children seeking work are thus excluded. Economic activity covers all market production and certain nonmarket production, including production of goods for own use. It excludes unpaid household services (commonly called ""household chores"") - that is, the production of domestic and personal services by household members for a household's own consumption.

Country surveys define the ages for child labor as 5-17. The data here have been recalculated to present statistics for children ages 7-14.",Social Protection & Labor: Economic activity,,,
6,SL.TLF.0714.ZS,SL.TLF.0714.ZS,"Children in employment, total (% of children ages 7-14)","Children in employment, total",% of children ages 7-14,SL.TLF.0714.ZS,,"In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment.","Children in employment, total (% of children ages 7-14)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Although efforts are made to harmonize the definition of employment and the questions on employment in survey questionnaires, significant differences remain in the survey instruments that collect data on children in employment and in the sampling design underlying the surveys. Differences exist not only across different household surveys in the same country but also across the same type of survey carried out in different countries, so estimates of working children are not fully comparable across countries. For detailed source information, see footnotes at each data point.",Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.,Annual,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.","Data are from household surveys by the International Labor Organization (ILO), the United Nations Children's Fund (UNICEF), the World Bank, and national statistical offices. The surveys yield data on education, employment, health, expenditure, and consumption indicators related to children's work. Since children's work is captured in the sense of ""economic activity,"" the data refer to children in employment, a broader concept than child labor (see ILO 2009a for details on this distinction).

Household survey data generally include information on work type - for example, whether a child is working for payment in cash or in kind or is involved in unpaid work, working for someone who is not a member of the household, or involved in any type of family work (on the farm or in a business).

In line with the definition of economic activity adopted by the 13th International Conference of Labour Statisticians, the threshold set by the 1993 UN System of National Accounts for classifying a person as employed is to have been engaged at least one hour in any activity relating to the production of goods and services during the reference period. Children seeking work are thus excluded. Economic activity covers all market production and certain nonmarket production, including production of goods for own use. It excludes unpaid household services (commonly called ""household chores"") - that is, the production of domestic and personal services by household members for a household's own consumption.

Country surveys define the ages for child labor as 5-17. The data here have been recalculated to present statistics for children ages 7-14.",Social Protection & Labor: Economic activity,,,
7,SL.TLF.0714.WK.ZS,SL.TLF.0714.WK.ZS,"Children in employment, work only (% of children in employment, ages 7-14)","Children in employment, work only","% of children in employment, ages 7-14",SL.TLF.0714.WK.ZS,,"In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment.","Children in employment, work only (% of children in employment, ages 7-14)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Although efforts are made to harmonize the definition of employment and the questions on employment in survey questionnaires, significant differences remain in the survey instruments that collect data on children in employment and in the sampling design underlying the surveys. Differences exist not only across different household surveys in the same country but also across the same type of survey carried out in different countries, so estimates of working children are not fully comparable across countries. For detailed source information, see footnotes at each data point.",Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Work only refers to children involved in economic activity and not attending school.,Annual,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.","Data are from household surveys by the International Labor Organization (ILO), the United Nations Children's Fund (UNICEF), the World Bank, and national statistical offices. The surveys yield data on education, employment, health, expenditure, and consumption indicators related to children's work. Since children's work is captured in the sense of ""economic activity,"" the data refer to children in employment, a broader concept than child labor (see ILO 2009a for details on this distinction).

Household survey data generally include information on work type - for example, whether a child is working for payment in cash or in kind or is involved in unpaid work, working for someone who is not a member of the household, or involved in any type of family work (on the farm or in a business).

In line with the definition of economic activity adopted by the 13th International Conference of Labour Statisticians, the threshold set by the 1993 UN System of National Accounts for classifying a person as employed is to have been engaged at least one hour in any activity relating to the production of goods and services during the reference period. Children seeking work are thus excluded. Economic activity covers all market production and certain nonmarket production, including production of goods for own use. It excludes unpaid household services (commonly called ""household chores"") - that is, the production of domestic and personal services by household members for a household's own consumption.

Country surveys define the ages for child labor as 5-17. The data here have been recalculated to present statistics for children ages 7-14.",Social Protection & Labor: Economic activity,,,
8,SL.TLF.0714.WK.FE.ZS,SL.TLF.0714.WK.FE.ZS,"Children in employment, work only, female (% of female children in employment, ages 7-14)","Children in employment, work only, female","% of female children in employment, ages 7-14",SL.TLF.0714.WK.FE.ZS,,"In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment.","Children in employment, work only, female (% of female children in employment, ages 7-14)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Although efforts are made to harmonize the definition of employment and the questions on employment in survey questionnaires, significant differences remain in the survey instruments that collect data on children in employment and in the sampling design underlying the surveys. Differences exist not only across different household surveys in the same country but also across the same type of survey carried out in different countries, so estimates of working children are not fully comparable across countries. For detailed source information, see footnotes at each data point.",Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Work only refers to children involved in economic activity and not attending school.,Annual,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.","Data are from household surveys by the International Labor Organization (ILO), the United Nations Children's Fund (UNICEF), the World Bank, and national statistical offices. The surveys yield data on education, employment, health, expenditure, and consumption indicators related to children's work. Since children's work is captured in the sense of ""economic activity,"" the data refer to children in employment, a broader concept than child labor (see ILO 2009a for details on this distinction).

Household survey data generally include information on work type - for example, whether a child is working for payment in cash or in kind or is involved in unpaid work, working for someone who is not a member of the household, or involved in any type of family work (on the farm or in a business).

In line with the definition of economic activity adopted by the 13th International Conference of Labour Statisticians, the threshold set by the 1993 UN System of National Accounts for classifying a person as employed is to have been engaged at least one hour in any activity relating to the production of goods and services during the reference period. Children seeking work are thus excluded. Economic activity covers all market production and certain nonmarket production, including production of goods for own use. It excludes unpaid household services (commonly called ""household chores"") - that is, the production of domestic and personal services by household members for a household's own consumption.

Country surveys define the ages for child labor as 5-17. The data here have been recalculated to present statistics for children ages 7-14.",Social Protection & Labor: Economic activity,,,
9,SL.TLF.0714.WK.MA.ZS,SL.TLF.0714.WK.MA.ZS,"Children in employment, work only, male (% of male children in employment, ages 7-14)","Children in employment, work only, male","% of male children in employment, ages 7-14",SL.TLF.0714.WK.MA.ZS,,"In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment.","Children in employment, work only, male (% of male children in employment, ages 7-14)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Although efforts are made to harmonize the definition of employment and the questions on employment in survey questionnaires, significant differences remain in the survey instruments that collect data on children in employment and in the sampling design underlying the surveys. Differences exist not only across different household surveys in the same country but also across the same type of survey carried out in different countries, so estimates of working children are not fully comparable across countries. For detailed source information, see footnotes at each data point.",Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Work only refers to children involved in economic activity and not attending school.,Annual,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.","Data are from household surveys by the International Labor Organization (ILO), the United Nations Children's Fund (UNICEF), the World Bank, and national statistical offices. The surveys yield data on education, employment, health, expenditure, and consumption indicators related to children's work. Since children's work is captured in the sense of ""economic activity,"" the data refer to children in employment, a broader concept than child labor (see ILO 2009a for details on this distinction).

Household survey data generally include information on work type - for example, whether a child is working for payment in cash or in kind or is involved in unpaid work, working for someone who is not a member of the household, or involved in any type of family work (on the farm or in a business).

In line with the definition of economic activity adopted by the 13th International Conference of Labour Statisticians, the threshold set by the 1993 UN System of National Accounts for classifying a person as employed is to have been engaged at least one hour in any activity relating to the production of goods and services during the reference period. Children seeking work are thus excluded. Economic activity covers all market production and certain nonmarket production, including production of goods for own use. It excludes unpaid household services (commonly called ""household chores"") - that is, the production of domestic and personal services by household members for a household's own consumption.

Country surveys define the ages for child labor as 5-17. The data here have been recalculated to present statistics for children ages 7-14.",Social Protection & Labor: Economic activity,,,
