,id,id_x,value,title,unit,id_y,Aggregationmethod,Generalcomments,IndicatorName,License_Type,License_URL,Longdefinition,Periodicity,Source,Topic,Developmentrelevance,Limitationsandexceptions,Statisticalconceptandmethodology,Shortdefinition,BasePeriod,Notesfromoriginalsource,Dataset
0,TX.VAL.AGRI.ZS.UN,TX.VAL.AGRI.ZS.UN,Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials exports,% of merchandise exports,TX.VAL.AGRI.ZS.UN,Weighted average,Merchandise export shares may not sum to 100 percent because of unclassified trade.,Agricultural raw materials exports (% of merchandise exports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Agricultural raw materials comprise SITC section 2 (crude materials except fuels) excluding divisions 22, 27 (crude fertilizers and minerals excluding coal, petroleum, and precious stones), and 28 (metalliferous ores and scrap).",Annual,World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.,Private Sector & Trade: Exports,,Previous editions contained data based on the SITC revision 1. Data for earlier years in previous editions may differ because of the change in methodology. Concordance tables are available to convert data reported in one system to another.,The classification of commodity groups is based on the Standard International Trade Classification (SITC) revision 3.,,,,
1,TM.VAL.AGRI.ZS.UN,TM.VAL.AGRI.ZS.UN,Agricultural raw materials imports (% of merchandise imports),Agricultural raw materials imports,% of merchandise imports,TM.VAL.AGRI.ZS.UN,Weighted average,Merchandise import shares may not sum to 100 percent because of unclassified trade.,Agricultural raw materials imports (% of merchandise imports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Agricultural raw materials comprise SITC section 2 (crude materials except fuels) excluding divisions 22, 27 (crude fertilizers and minerals excluding coal, petroleum, and precious stones), and 28 (metalliferous ores and scrap).",Annual,World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.,Private Sector & Trade: Imports,,Previous editions contained data based on the SITC revision 1. Data for earlier years in previous editions may differ because of the change in methodology. Concordance tables are available to convert data reported in one system to another.,The classification of commodity groups is based on the Standard International Trade Classification (SITC) revision 3.,,,,
2,TM.TAX.MANF.BC.ZS,TM.TAX.MANF.BC.ZS,"Binding coverage, manufactured products (%)","Binding coverage, manufactured products",%,TM.TAX.MANF.BC.ZS,,,"Binding coverage, manufactured products (%)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Binding coverage is the percentage of product lines with an agreed bound rate. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.,Annual,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization.",Private Sector & Trade: Tariffs,,,,Binding coverage is the percentage of product lines with an agreed bound rate. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.,,,
3,TM.TAX.MRCH.BR.ZS,TM.TAX.MRCH.BR.ZS,"Bound rate, simple mean, all products (%)","Bound rate, simple mean, all products",%,TM.TAX.MRCH.BR.ZS,,,"Bound rate, simple mean, all products (%)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable.,Annual,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization.",Private Sector & Trade: Tariffs,,,,Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set.,,,
4,TM.TAX.MANF.BR.ZS,TM.TAX.MANF.BR.ZS,"Bound rate, simple mean, manufactured products (%)","Bound rate, simple mean, manufactured products",%,TM.TAX.MANF.BR.ZS,,,"Bound rate, simple mean, manufactured products (%)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.,Annual,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization.",Private Sector & Trade: Tariffs,,,,Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.,,,
5,TM.TAX.TCOM.BR.ZS,TM.TAX.TCOM.BR.ZS,"Bound rate, simple mean, primary products (%)","Bound rate, simple mean, primary products",%,TM.TAX.TCOM.BR.ZS,,,"Bound rate, simple mean, primary products (%)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals).,Annual,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization.",Private Sector & Trade: Tariffs,,,,Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals).,,,
6,TX.VAL.SERV.CD.WT,TX.VAL.SERV.CD.WT,Commercial service exports (current US$),Commercial service exports,current US$,TX.VAL.SERV.CD.WT,Gap-filled total,,Commercial service exports (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Commercial service exports are total service exports minus exports of government services not included elsewhere. International transactions in services are defined by the IMF's Balance of Payments Manual (1993) as the economic output of intangible commodities that may be produced, transferred, and consumed at the same time. Definitions may vary among reporting economies.",Annual,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Private Sector & Trade: Exports,"Trade in services differs from trade in goods because services are produced and consumed at the same time. Thus services to a traveler may be consumed in the producing country (for example, use of a hotel room) but are classified as imports of the traveler's country. In other cases services may be supplied from a remote location; for example, insurance services may be supplied from one location and consumed in another.","Balance of payments statistics, the main source of information on international trade in services, have many weaknesses. Disaggregation of important components may be limited and varies considerably across countries. There are inconsistencies in the methods used to report items. And the recording of major flows as net items is common (for example, insurance transactions are often recorded as premiums less claims). These factors contribute to a downward bias in the value of the service trade reported in the balance of payments.

Efforts are being made to improve the coverage, quality, and consistency of these data. Eurostat and the Organisation for Economic Co-operation and Development, for example, are working together to improve the collection of statistics on trade in services in member countries.

Still, difficulties in capturing all the dimensions of international trade in services mean that the record is likely to remain incomplete. Cross-border intrafirm service transactions, which are usually not captured in the balance of payments, have increased in recent years. An example is transnational corporations' use of mainframe computers around the clock for data processing, exploiting time zone differences between their home country and the host countries of their affiliates. Another important dimension of service trade not captured by conventional balance of payments statistics is establishment trade - sales in the host country by foreign affiliates. By contrast, cross-border intrafirm transactions in merchandise may be reported as exports or imports in the balance of payments.","The balance of payments (BoP) is a double-entry accounting system that shows all flows of goods and services into and out of an economy; all transfers that are the counterpart of real resources or financial claims provided to or by the rest of the world without a quid pro quo, such as donations and grants; and all changes in residents' claims on and liabilities to nonresidents that arise from economic transactions. All transactions are recorded twice - once as a credit and once as a debit. In principle the net balance should be zero, but in practice the accounts often do not balance, requiring inclusion of a balancing item, net errors and omissions.

The concepts and definitions underlying the data are based on the sixth edition of the International Monetary Fund's (IMF) Balance of Payments Manual (BPM6). Balance of payments data for 2005 onward will be presented in accord with the BPM6. The historical BPM5 data series will end with data for 2008, which can be accessed through the World Development Indicators archives.

The complete balance of payments methodology can be accessed through the International Monetary Fund website (www.imf.org/external/np/sta/bop/bop.htm).",,,,
7,TM.VAL.SERV.CD.WT,TM.VAL.SERV.CD.WT,Commercial service imports (current US$),Commercial service imports,current US$,TM.VAL.SERV.CD.WT,Gap-filled total,,Commercial service imports (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Commercial service imports are total service imports minus imports of government services not included elsewhere. International transactions in services are defined by the IMF's Balance of Payments Manual (1993) as the economic output of intangible commodities that may be produced, transferred, and consumed at the same time. Definitions may vary among reporting economies.",Annual,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Private Sector & Trade: Imports,"Trade in services differs from trade in goods because services are produced and consumed at the same time. Thus services to a traveler may be consumed in the producing country (for example, use of a hotel room) but are classified as imports of the traveler's country. In other cases services may be supplied from a remote location; for example, insurance services may be supplied from one location and consumed in another.","Balance of payments statistics, the main source of information on international trade in services, have many weaknesses. Disaggregation of important components may be limited and varies considerably across countries. There are inconsistencies in the methods used to report items. And the recording of major flows as net items is common (for example, insurance transactions are often recorded as premiums less claims). These factors contribute to a downward bias in the value of the service trade reported in the balance of payments.

Efforts are being made to improve the coverage, quality, and consistency of these data. Eurostat and the Organisation for Economic Co-operation and Development, for example, are working together to improve the collection of statistics on trade in services in member countries.

Still, difficulties in capturing all the dimensions of international trade in services mean that the record is likely to remain incomplete. Cross-border intrafirm service transactions, which are usually not captured in the balance of payments, have increased in recent years. An example is transnational corporations' use of mainframe computers around the clock for data processing, exploiting time zone differences between their home country and the host countries of their affiliates. Another important dimension of service trade not captured by conventional balance of payments statistics is establishment trade - sales in the host country by foreign affiliates. By contrast, cross-border intrafirm transactions in merchandise may be reported as exports or imports in the balance of payments.","The balance of payments (BoP) is a double-entry accounting system that shows all flows of goods and services into and out of an economy; all transfers that are the counterpart of real resources or financial claims provided to or by the rest of the world without a quid pro quo, such as donations and grants; and all changes in residents' claims on and liabilities to nonresidents that arise from economic transactions. All transactions are recorded twice - once as a credit and once as a debit. In principle the net balance should be zero, but in practice the accounts often do not balance, requiring inclusion of a balancing item, net errors and omissions.

The concepts and definitions underlying the data are based on the sixth edition of the International Monetary Fund's (IMF) Balance of Payments Manual (BPM6). Balance of payments data for 2005 onward will be presented in accord with the BPM6. The historical BPM5 data series will end with data for 2008, which can be accessed through the World Development Indicators archives.

The complete balance of payments methodology can be accessed through the International Monetary Fund website (www.imf.org/external/np/sta/bop/bop.htm).",,,,
8,BX.GSR.CMCP.ZS,BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)","Communications, computer, etc.","% of service exports, BoP",BX.GSR.CMCP.ZS,Weighted average,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,"Communications, computer, etc. (% of service exports, BoP)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Communications, computer, information, and other services cover international telecommunications; computer data; news-related service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business, professional, and technical services; personal, cultural, and recreational services; manufacturing services on physical inputs owned by others; and maintenance and repair services and government services not included elsewhere.",Annual,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,,,,
9,IC.IMP.CSBC.CD,IC.IMP.CSBC.CD,"Cost to import, border compliance (US$)","Cost to import, border compliance",US$,IC.IMP.CSBC.CD,Unweighted average,"Insurance cost and informal payments for which no receipt is issued are excluded from the costs recorded. Costs are reported in U.S. dollars. Contributors are asked to convert local currency into U.S. dollars based on the exchange rate prevailing on the day they answer the questionnaire. Contributors are private sector experts in international trade logistics and are informed about exchange rates and their movements.

Data are presented for the survey year instead of publication year.","Cost to import, border compliance (US$)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Border compliance captures the time and cost associated with compliance with the economy’s customs regulations and with regulations relating to other inspections that are mandatory in order for the shipment to cross the economy’s border, as well as the time and cost for handling that takes place at its port or border. The time and cost for this segment include time and cost for customs clearance and inspection procedures conducted by other government agencies.",Annual,"World Bank, Doing Business project (http://www.doingbusiness.org/). NOTE: Doing Business has been discontinued as of 9/16/2021. For more information: https://bit.ly/3CLCbme",Private Sector & Trade: Trade facilitation,,"If inspections by agencies other than customs are conducted in 20% or fewer cases, the border compliance time and cost measures take into account only clearance and inspections by customs (the standard case). If inspections by other agencies take place in more than 20% of cases, the time and cost measures account for clearance and inspections by all agencies. Different types of inspections may take place with different probabilities—for example, scanning may take place in 100% of cases while physical inspection occurs in 5% of cases. In situations like this, Doing Business would count the time only for scanning because it happens in more than 20% of cases while physical inspection does not. The border compliance time and cost for an economy do not include the time and cost for compliance with the regulations of any other economy.","The computation of border compliance time and cost depends on where the border compliance procedures take place, who requires and conducts the procedures and what is the probability that inspections will be conducted. If all customs clearance and other inspections take place at the port or border, the time estimate for border compliance takes this simultaneity into account. It is entirely possible that the border compliance time and cost could be negligible or zero, as in the case of trade between members of the European Union or other customs unions.

If some or all customs or other inspections take place at other locations, the time and cost for these procedures are added to the time and cost for those that take place at the port or border. In Kazakhstan, for example, all customs clearance and inspections take place at a customs post in Almaty that is not at the land border between Kazakhstan and China. In this case border compliance time is the sum of the time spent at the terminal in Almaty and the handling time at the border.

Doing Business asks contributors to estimate the time and cost for clearance and inspections by customs agencies— defined as documentary and physical inspections for the purpose of calculating duties by verifying product classification, confirming quantity, determining origin and checking the veracity of other information on the customs declaration. (This category includes all inspections aimed at preventing smuggling.) These are clearance and inspection procedures that take place in the majority of cases and thus are considered the ""standard"" case. The time and cost estimates capture the efficiency of the customs agency of the economy.

Doing Business also asks contributors to estimate the total time and cost for clearance and inspections by customs and all other government agencies for the specified product. These estimates account for inspections related to health, safety, phytosanitary standards, conformity and the like, and thus capture the efficiency of agencies that require and conduct these additional inspections.",,,,
