column,description,source,title,units,notes
country,Geographic location.,Our World in Data,Geographic location,,
year,Year of observation.,Our World in Data,Year of observation,,
iso_code,"ISO 3166-1 alpha-3, three-letter country codes.",International Organization for Standardization,"ISO 3166-1 alpha-3, three-letter country codes",,
population,Population of each country or region.,Our World in Data based on different sources (https://ourworldindata.org/population-sources),Population of each country or region,,
gdp,Gross domestic product measured in international-$ using 2011 prices to adjust for price changes over time (inflation) and price differences between countries. Calculated by multiplying GDP per capita with population.,"Maddison Project Database 2020 (Bolt and van Zanden, 2020)",Gross domestic product measured in international-$ using 2011 prices to adjust for price changes over time (inflation) and price differences between countries. Calculated by multiplying GDP per capita with population. (international-$ using 2011 prices to adjust for price changes over time (inflation) and price differences between countries),international-$ using 2011 prices to adjust for price changes over time (inflation) and price differences between countries,Calculated by multiplying GDP per capita with population.
cement_co2,"Annual production-based emissions of carbon dioxide (CO₂) from cement, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),Annual production-based emissions of carbon dioxide (CO₂) from cement (million tonnes),million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
cement_co2_per_capita,"Annual production-based emissions of carbon dioxide (CO₂) from cement, measured in tonnes per person. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022); Population data is generated by Our World in Data based on different sources (https://ourworldindata.org/population-sources),Annual production-based emissions of carbon dioxide (CO₂) from cement (tonnes per person),tonnes per person,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
co2,"Annual total production-based emissions of carbon dioxide (CO₂), excluding land-use change, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),"Annual total production-based emissions of carbon dioxide (CO₂), excluding land-use change (million tonnes)",million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
co2_growth_abs,"Annual growth in total production-based emissions of carbon dioxide (CO₂), excluding land-use change, measured in million tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),"Annual growth in total production-based emissions of carbon dioxide (CO₂), excluding land-use change (million tonnes)",million tonnes,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
co2_growth_prct,"Annual percentage growth in total production-based emissions of carbon dioxide (CO₂), excluding land-use change. This is based on territorial emissions, which do not account for emissions embedded in traded goods.",Global Carbon Budget (2022),"Annual percentage growth in total production-based emissions of carbon dioxide (CO₂), excluding land-use change (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods."
